First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	Ratio_Type	C_Method	N_Method	P_Method	Notes
Robbins	Leaf litter identity alters the timing of lotic nutrient dynamics	2019	Freshwater Biology	10.1111/fwb.13410	stream	NA	0.055	NA	litter_bag	5	outdoor_mesocosm	Outdoor mesocosm with nutrient pulses	NA	open	leaves	senesced	Quercus macrocarpa	1	0	19February2015	15	NA	NA	NA	500	NA	5000	1000	6000	NA	100	5.38	0.929188256	0.006415	afdm	NA	NA	NA	NA	NA	47.75	1.343333333	0.040333333	41.88938842	3097.506445	73.85598944	NA	afdm	"Baylor Experimental Aquatic Research Facility, Waco, TX"	144	31.609348_-97.307882	3	NA	n	n	y	molar	ea	ea	molybdate_method	"Need to caution use of nutrients analysis here because these are the loadings, not the constant availability. Large outdoor mesocosm streams with some invertebrate shredding possible (coarse mesh, invert incolum provided to each stream)"
Robbins	Leaf litter identity alters the timing of lotic nutrient dynamics	2019	Freshwater Biology	10.1111/fwb.13410	stream	NA	0.055	NA	litter_bag	5	outdoor_mesocosm	Outdoor mesocosm with nutrient pulses	NA	open	leaves	senesced	Quercus macrocarpa	1	28	19February2015	15	NA	NA	NA	500	NA	5000	1000	6000	NA	86.80297398	5.38	0.882776392	0.006415	afdm	NA	NA	NA	NA	NA	47.24777778	1.716666667	0.075777778	32.1105191	1616.03021	50.33853208	NA	afdm	"Baylor Experimental Aquatic Research Facility, Waco, TX"	144	31.609348_-97.307882	3	NA	n	n	y	molar	ea	ea	molybdate_method	
Robbins	Leaf litter identity alters the timing of lotic nutrient dynamics	2019	Freshwater Biology	10.1111/fwb.13410	stream	NA	0.055	NA	litter_bag	5	outdoor_mesocosm	Outdoor mesocosm with nutrient pulses	NA	open	leaves	senesced	Quercus macrocarpa	1	56	19February2015	15	NA	NA	NA	500	NA	5000	1000	6000	NA	69.82651797	5.38	0.819176964	0.006415	afdm	NA	NA	NA	NA	NA	42.44	1.944444444	0.107	25.48928265	1025.081115	40.25235121	NA	afdm	"Baylor Experimental Aquatic Research Facility, Waco, TX"	144	31.609348_-97.307882	3	NA	n	n	y	molar	ea	ea	molybdate_method	
Robbins	Leaf litter identity alters the timing of lotic nutrient dynamics	2019	Freshwater Biology	10.1111/fwb.13410	stream	NA	0.055	NA	litter_bag	5	outdoor_mesocosm	Outdoor mesocosm with nutrient pulses	NA	open	leaves	senesced	Populus deltoides	2	0	19February2015	15	NA	NA	NA	500	NA	5000	1000	6000	NA	100	4.63	0.826785714	0.024386	afdm	NA	NA	NA	NA	NA	41.88666667	2.176666667	0.108333333	22.48518639	1007.191071	45.03764042	NA	afdm	"Baylor Experimental Aquatic Research Facility, Waco, TX"	144	31.609348_-97.307882	3	NA	n	n	y	molar	ea	ea	molybdate_method	
Robbins	Leaf litter identity alters the timing of lotic nutrient dynamics	2019	Freshwater Biology	10.1111/fwb.13410	stream	NA	0.055	NA	litter_bag	5	outdoor_mesocosm	Outdoor mesocosm with nutrient pulses	NA	open	leaves	senesced	Populus deltoides	2	28	19February2015	15	NA	NA	NA	500	NA	5000	1000	6000	NA	59.03527718	4.63	0.847125866	0.024386	afdm	NA	NA	NA	NA	NA	45.08555556	3.247777778	0.130222222	16.26384729	905.4742215	55.82352496	NA	afdm	"Baylor Experimental Aquatic Research Facility, Waco, TX"	144	31.609348_-97.307882	3	NA	n	n	y	molar	ea	ea	molybdate_method	
Robbins	Leaf litter identity alters the timing of lotic nutrient dynamics	2019	Freshwater Biology	10.1111/fwb.13410	stream	NA	0.055	NA	litter_bag	5	outdoor_mesocosm	Outdoor mesocosm with nutrient pulses	NA	open	leaves	senesced	Populus deltoides	2	56	19February2015	15	NA	NA	NA	500	NA	5000	1000	6000	NA	25.55795536	4.63	0.721524394	0.024386	afdm	NA	NA	NA	NA	NA	36.56333333	2.523333333	0.145777778	16.94829146	650.5065215	38.38028689	NA	afdm	"Baylor Experimental Aquatic Research Facility, Waco, TX"	144	31.609348_-97.307882	3	NA	n	n	y	molar	ea	ea	molybdate_method	
Robbins	Leaf litter identity alters the timing of lotic nutrient dynamics	2019	Freshwater Biology	10.1111/fwb.13410	stream	NA	0.055	NA	litter_bag	5	outdoor_mesocosm	Outdoor mesocosm with nutrient pulses	NA	open	leaves	senesced	Platanus occidentalis	3	0	19February2015	15	NA	NA	NA	500	NA	5000	1000	6000	NA	100	5.32	0.938271605	0.005364	afdm	NA	NA	NA	NA	NA	46.86	1.63	0.05	34.1514951	2449.32849	71.9807743	NA	afdm	"Baylor Experimental Aquatic Research Facility, Waco, TX"	144	31.609348_-97.307882	3	NA	n	n	y	molar	ea	ea	molybdate_method	
Robbins	Leaf litter identity alters the timing of lotic nutrient dynamics	2019	Freshwater Biology	10.1111/fwb.13410	stream	NA	0.055	NA	litter_bag	5	outdoor_mesocosm	Outdoor mesocosm with nutrient pulses	NA	open	leaves	senesced	Platanus occidentalis	3	28	19February2015	15	NA	NA	NA	500	NA	5000	1000	6000	NA	88.22055138	5.32	0.918412507	0.005364	afdm	NA	NA	NA	NA	NA	48.87666667	1.955555556	0.068777778	29.38418704	1836.078666	63.00931474	NA	afdm	"Baylor Experimental Aquatic Research Facility, Waco, TX"	144	31.609348_-97.307882	3	NA	n	n	y	molar	ea	ea	molybdate_method	
Robbins	Leaf litter identity alters the timing of lotic nutrient dynamics	2019	Freshwater Biology	10.1111/fwb.13410	stream	NA	0.055	NA	litter_bag	5	outdoor_mesocosm	Outdoor mesocosm with nutrient pulses	NA	open	leaves	senesced	Platanus occidentalis	3	56	19February2015	15	NA	NA	NA	500	NA	5000	1000	6000	NA	74.06015038	5.32	0.872446775	0.005364	afdm	NA	NA	NA	NA	NA	46.20777778	2.264444444	0.089444444	23.94257018	1341.891553	56.13251647	NA	afdm	"Baylor Experimental Aquatic Research Facility, Waco, TX"	144	31.609348_-97.307882	3	NA	n	n	y	molar	ea	ea	molybdate_method	
Robbins	Leaf litter identity alters the timing of lotic nutrient dynamics	2019	Freshwater Biology	10.1111/fwb.13410	stream	NA	0.055	NA	litter_bag	5	outdoor_mesocosm	Outdoor mesocosm with nutrient pulses	NA	open	leaves	senesced	Populus deltoidesXQuercus macrocarpaXPlatanus occidentalis	4	0	19February2015	15	NA	NA	NA	500	NA	5000	1000	6000	NA	100	5.1	0.902654867	0.009264	afdm	NA	NA	NA	NA	NA	46.42333333	1.833333333	0.064333333	29.84717633	1880.092845	63.0199631	NA	afdm	"Baylor Experimental Aquatic Research Facility, Waco, TX"	144	31.609348_-97.307882	3	NA	n	n	y	molar	ea	ea	molybdate_method	
Robbins	Leaf litter identity alters the timing of lotic nutrient dynamics	2019	Freshwater Biology	10.1111/fwb.13410	stream	NA	0.055	NA	litter_bag	5	outdoor_mesocosm	Outdoor mesocosm with nutrient pulses	NA	open	leaves	senesced	Populus deltoidesXQuercus macrocarpaXPlatanus occidentalis	4	28	19February2015	15	NA	NA	NA	500	NA	5000	1000	6000	NA	79.73856209	5.1	0.887954497	0.009264	afdm	NA	NA	NA	NA	NA	45.88444444	2.053333333	0.091	26.1228723	1308.36955	50.15002866	NA	afdm	"Baylor Experimental Aquatic Research Facility, Waco, TX"	144	31.609348_-97.307882	3	NA	n	n	y	molar	ea	ea	molybdate_method	
Robbins	Leaf litter identity alters the timing of lotic nutrient dynamics	2019	Freshwater Biology	10.1111/fwb.13410	stream	NA	0.055	NA	litter_bag	5	outdoor_mesocosm	Outdoor mesocosm with nutrient pulses	NA	open	leaves	senesced	Populus deltoidesXQuercus macrocarpaXPlatanus occidentalis	4	56	19February2015	15	NA	NA	NA	500	NA	5000	1000	6000	NA	59.54248366	5.1	0.833062089	0.009264	afdm	NA	NA	NA	NA	NA	43.62333333	1.962222222	0.099444444	26.07357935	1136.096516	43.72719307	NA	afdm	"Baylor Experimental Aquatic Research Facility, Waco, TX"	144	31.609348_-97.307882	3	NA	n	n	y	molar	ea	ea	molybdate_method	
