First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	Ratio_Type	C_method	N_method	P_method	Notes
Rogers	Decompostion of Potamogeton crispus L.: The effects of drying on the pattern of mass and nutrient loss	1982	Aquatic Botany	10.1016/0304-3770(82)90002-X	lake	NA	NA	NA	litter_bag	2.25	field	plantcondition_not dried	NA	open	plant_shoot	green	Potamogeton_crispus	1	0	September1977	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	10	NA	NA	dm	NA	NA	NA	NA	NA	NA	1.86001081	0.28406629	NA	NA	14.4743423	NA	dm	"Tete, Pongolo River floodplain in South Africa"	NA	-27.500000_32.250012	4	n	y	n	n	molar	NA	kjeldahl_ionspecificelectrode	emission_spectrometry	Macrophytes were not dried before deployment; authors stated that mass remaining adjust better to a linear (rather than exponential) decay model
Rogers	Decompostion of Potamogeton crispus L.: The effects of drying on the pattern of mass and nutrient loss	1982	Aquatic Botany	10.1016/0304-3770(82)90002-X	lake	NA	NA	NA	litter_bag	2.25	field	plantcondition_not dried	NA	open	plant_shoot	green	Potamogeton_crispus	1	1	September1977	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	99.59758551	10	NA	NA	dm	NA	NA	NA	NA	NA	NA	1.877075129	0.282550275	NA	NA	14.68550859	NA	dm	"Tete, Pongolo River floodplain in South Africa"	NA	-27.500000_32.250012	4	n	y	n	n	molar	NA	kjeldahl_ionspecificelectrode	emission_spectrometry	Macrophytes were not dried before deployment; authors stated that mass remaining adjust better to a linear (rather than exponential) decay model
Rogers	Decompostion of Potamogeton crispus L.: The effects of drying on the pattern of mass and nutrient loss	1982	Aquatic Botany	10.1016/0304-3770(82)90002-X	lake	NA	NA	NA	litter_bag	2.25	field	plantcondition_not dried	NA	open	plant_shoot	green	Potamogeton_crispus	1	6	September1977	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	86.09338933	10	NA	NA	dm	NA	NA	NA	NA	NA	NA	2.136214315	0.244230072	NA	NA	19.33520381	NA	dm	"Tete, Pongolo River floodplain in South Africa"	NA	-27.500000_32.250012	4	n	y	n	n	molar	NA	kjeldahl_ionspecificelectrode	emission_spectrometry	Macrophytes were not dried before deployment; authors stated that mass remaining adjust better to a linear (rather than exponential) decay model
Rogers	Decompostion of Potamogeton crispus L.: The effects of drying on the pattern of mass and nutrient loss	1982	Aquatic Botany	10.1016/0304-3770(82)90002-X	lake	NA	NA	NA	litter_bag	2.25	field	plantcondition_not dried	NA	open	plant_shoot	green	Potamogeton_crispus	1	12	September1977	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	58.05294084	10	NA	NA	dm	NA	NA	NA	NA	NA	NA	2.159082636	0.24386856	NA	NA	19.57115789	NA	dm	"Tete, Pongolo River floodplain in South Africa"	NA	-27.500000_32.250012	4	n	y	n	n	molar	NA	kjeldahl_ionspecificelectrode	emission_spectrometry	Macrophytes were not dried before deployment; authors stated that mass remaining adjust better to a linear (rather than exponential) decay model
Rogers	Decompostion of Potamogeton crispus L.: The effects of drying on the pattern of mass and nutrient loss	1982	Aquatic Botany	10.1016/0304-3770(82)90002-X	lake	NA	NA	NA	litter_bag	2.25	field	plantcondition_not dried	NA	open	plant_shoot	green	Potamogeton_crispus	1	18	September1977	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32.84923324	10	NA	NA	dm	NA	NA	NA	NA	NA	NA	1.876518085	0.260641909	NA	NA	15.91518077	NA	dm	"Tete, Pongolo River floodplain in South Africa"	NA	-27.500000_32.250012	4	n	y	n	n	molar	NA	kjeldahl_ionspecificelectrode	emission_spectrometry	Macrophytes were not dried before deployment; authors stated that mass remaining adjust better to a linear (rather than exponential) decay model
Rogers	Decompostion of Potamogeton crispus L.: The effects of drying on the pattern of mass and nutrient loss	1982	Aquatic Botany	10.1016/0304-3770(82)90002-X	lake	NA	NA	NA	litter_bag	2.25	field	plantcondition_not dried	NA	open	plant_shoot	green	Potamogeton_crispus	1	24	September1977	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.46777436	10	NA	NA	dm	NA	NA	NA	NA	NA	NA	1.849952412	0.211289779	NA	NA	19.35464178	NA	dm	"Tete, Pongolo River floodplain in South Africa"	NA	-27.500000_32.250012	4	n	y	n	n	molar	NA	kjeldahl_ionspecificelectrode	emission_spectrometry	Macrophytes were not dried before deployment; authors stated that mass remaining adjust better to a linear (rather than exponential) decay model
Rogers	Decompostion of Potamogeton crispus L.: The effects of drying on the pattern of mass and nutrient loss	1982	Aquatic Botany	10.1016/0304-3770(82)90002-X	lake	NA	NA	NA	litter_bag	2.25	field	plantcondition_dried	NA	open	plant_shoot	green	Potamogeton_crispus	2	0	September1977	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	10	NA	NA	dm	NA	NA	NA	NA	NA	NA	1.980001544	0.304890121	NA	NA	14.35572882	NA	dm	"Tete, Pongolo River floodplain in South Africa"	NA	-27.500000_32.250012	4	n	y	n	n	molar	NA	kjeldahl_ionspecificelectrode	emission_spectrometry	Authors stated that mass remaining adjust better to a linear (rather than exponential) decay model
Rogers	Decompostion of Potamogeton crispus L.: The effects of drying on the pattern of mass and nutrient loss	1982	Aquatic Botany	10.1016/0304-3770(82)90002-X	lake	NA	NA	NA	litter_bag	2.25	field	plantcondition_dried	NA	open	plant_shoot	green	Potamogeton_crispus	2	0.0833	September1977	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	81.8015165	10	NA	NA	dm	NA	NA	NA	NA	NA	NA	2.135279129	0.164052296	NA	NA	28.77235513	NA	dm	"Tete, Pongolo River floodplain in South Africa"	NA	-27.500000_32.250012	4	n	y	n	n	molar	NA	kjeldahl_ionspecificelectrode	emission_spectrometry	Authors stated that mass remaining adjust better to a linear (rather than exponential) decay model
Rogers	Decompostion of Potamogeton crispus L.: The effects of drying on the pattern of mass and nutrient loss	1982	Aquatic Botany	10.1016/0304-3770(82)90002-X	lake	NA	NA	NA	litter_bag	2.25	field	plantcondition_dried	NA	open	plant_shoot	green	Potamogeton_crispus	2	1	September1977	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	81.7454185	10	NA	NA	dm	NA	NA	NA	NA	NA	NA	2.074202764	0.144196382	NA	NA	31.79800799	NA	dm	"Tete, Pongolo River floodplain in South Africa"	NA	-27.500000_32.250012	4	n	y	n	n	molar	NA	kjeldahl_ionspecificelectrode	emission_spectrometry	Authors stated that mass remaining adjust better to a linear (rather than exponential) decay model
Rogers	Decompostion of Potamogeton crispus L.: The effects of drying on the pattern of mass and nutrient loss	1982	Aquatic Botany	10.1016/0304-3770(82)90002-X	lake	NA	NA	NA	litter_bag	2.25	field	plantcondition_dried	NA	open	plant_shoot	green	Potamogeton_crispus	2	6	September1977	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	72.76307199	10	NA	NA	dm	NA	NA	NA	NA	NA	NA	2.001359643	0.114431948	NA	NA	38.66169746	NA	dm	"Tete, Pongolo River floodplain in South Africa"	NA	-27.500000_32.250012	4	n	y	n	n	molar	NA	kjeldahl_ionspecificelectrode	emission_spectrometry	Authors stated that mass remaining adjust better to a linear (rather than exponential) decay model
