First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	Ratio_Type	C_Method	N_Method	P_Method	Notes
Rosemond	Non-additive effects of litter mixing are suppressed in a nutrient-enriched stream	2010	Oikos	10.1111/j.1600-0706.2009.17904.x	stream	0.32	NA	NA	litter_bag	5	field	Whole-stream enrichment_reference	forest	NA	leaves	senesced	Acer rubrum	1	0	13-Dec-06	12	NA	NA	NA	3.5	NA	NA	NA	8.2	NA	NA	9	NA	0.018760383	afdm	NA	NA	NA	NA	NA	NA	NA	NA	107.9674017	NA	NA	NA	NA	"Coweeta, NC Catchment 53"	820	35.059807_-83.430569	3	n	y	n	n	NA	ea	ea	NA	Some physical variables pulled from Greenwood and Rosemond (2005)
Rosemond	Non-additive effects of litter mixing are suppressed in a nutrient-enriched stream	2010	Oikos	10.1111/j.1600-0706.2009.17904.x	stream	0.32	NA	NA	litter_bag	5	field	Whole-stream enrichment_reference	forest	NA	leaves	senesced	Acer rubrum	1	21	13-Dec-06	12	NA	NA	NA	3.5	NA	NA	NA	8.2	NA	NA	9	NA	0.018760383	afdm	NA	NA	NA	NA	NA	NA	NA	NA	75.21332694	NA	NA	NA	NA	"Coweeta, NC Catchment 53"	820	35.059807_-83.430569	3	n	y	n	n	NA	ea	ea	NA	"Ratio type not clear, but within stream concentrations are reported as molar. Likely molar."
Rosemond	Non-additive effects of litter mixing are suppressed in a nutrient-enriched stream	2010	Oikos	10.1111/j.1600-0706.2009.17904.x	stream	0.32	NA	NA	litter_bag	5	field	Whole-stream enrichment_reference	forest	NA	leaves	senesced	Acer rubrum	1	56	13-Dec-06	12	NA	NA	NA	3.5	NA	NA	NA	8.2	NA	NA	9	NA	0.018760383	afdm	NA	NA	NA	NA	NA	NA	NA	NA	80.20613615	NA	NA	NA	NA	"Coweeta, NC Catchment 53"	820	35.059807_-83.430569	3	n	y	n	n	NA	ea	ea	NA	
Rosemond	Non-additive effects of litter mixing are suppressed in a nutrient-enriched stream	2010	Oikos	10.1111/j.1600-0706.2009.17904.x	stream	0.32	NA	NA	litter_bag	5	field	Whole-stream enrichment_reference	forest	NA	leaves	senesced	Acer rubrum	1	98	13-Dec-06	12	NA	NA	NA	3.5	NA	NA	NA	8.2	NA	NA	9	NA	0.018760383	afdm	NA	NA	NA	NA	NA	NA	NA	NA	59.12991371	NA	NA	NA	NA	"Coweeta, NC Catchment 53"	820	35.059807_-83.430569	3	n	y	n	n	NA	ea	ea	NA	
Rosemond	Non-additive effects of litter mixing are suppressed in a nutrient-enriched stream	2010	Oikos	10.1111/j.1600-0706.2009.17904.x	stream	0.53	NA	NA	litter_bag	5	field	Whole-stream enrichment_enriched	forest	NA	leaves	senesced	Acer rubrum	2	0	13-Dec-06	12	NA	NA	NA	60	NA	NA	NA	391	NA	NA	9	NA	0.02770607	afdm	NA	NA	NA	NA	NA	NA	NA	NA	107.9674017	NA	NA	NA	NA	"Coweeta, NC Catchment 54"	841	35.059807_-83.430569	3	n	y	n	n	NA	ea	ea	NA	
Rosemond	Non-additive effects of litter mixing are suppressed in a nutrient-enriched stream	2010	Oikos	10.1111/j.1600-0706.2009.17904.x	stream	0.53	NA	NA	litter_bag	5	field	Whole-stream enrichment_enriched	forest	NA	leaves	senesced	Acer rubrum	2	21	13-Dec-06	12	NA	NA	NA	60	NA	NA	NA	391	NA	NA	9	NA	0.02770607	afdm	NA	NA	NA	NA	NA	NA	NA	NA	42.55033557	NA	NA	NA	NA	"Coweeta, NC Catchment 54"	841	35.059807_-83.430569	3	n	y	n	n	NA	ea	ea	NA	
Rosemond	Non-additive effects of litter mixing are suppressed in a nutrient-enriched stream	2010	Oikos	10.1111/j.1600-0706.2009.17904.x	stream	0.53	NA	NA	litter_bag	5	field	Whole-stream enrichment_enriched	forest	NA	leaves	senesced	Acer rubrum	2	56	13-Dec-06	12	NA	NA	NA	60	NA	NA	NA	391	NA	NA	9	NA	0.02770607	afdm	NA	NA	NA	NA	NA	NA	NA	NA	38.55704698	NA	NA	NA	NA	"Coweeta, NC Catchment 54"	841	35.059807_-83.430569	3	n	y	n	n	NA	ea	ea	NA	
Rosemond	Non-additive effects of litter mixing are suppressed in a nutrient-enriched stream	2010	Oikos	10.1111/j.1600-0706.2009.17904.x	stream	0.53	NA	NA	litter_bag	5	field	Whole-stream enrichment_enriched	forest	NA	leaves	senesced	Acer rubrum	2	98	13-Dec-06	12	NA	NA	NA	60	NA	NA	NA	391	NA	NA	9	NA	0.02770607	afdm	NA	NA	NA	NA	NA	NA	NA	NA	32.76366251	NA	NA	NA	NA	"Coweeta, NC Catchment 54"	841	35.059807_-83.430569	3	n	y	n	n	NA	ea	ea	NA	
Rosemond	Non-additive effects of litter mixing are suppressed in a nutrient-enriched stream	2010	Oikos	10.1111/j.1600-0706.2009.17904.x	stream	0.32	NA	NA	litter_bag	5	field	Whole-stream enrichment_reference	forest	NA	leaves	senesced	Liriodendron tulipifera	3	0	13-Dec-06	12	NA	NA	NA	3.5	NA	NA	NA	8.2	NA	NA	9	NA	0.010351438	afdm	NA	NA	NA	NA	NA	NA	NA	NA	63.96992122	NA	NA	NA	NA	"Coweeta, NC Catchment 53"	820	35.059807_-83.430569	3	n	y	n	n	NA	ea	ea	NA	
Rosemond	Non-additive effects of litter mixing are suppressed in a nutrient-enriched stream	2010	Oikos	10.1111/j.1600-0706.2009.17904.x	stream	0.32	NA	NA	litter_bag	5	field	Whole-stream enrichment_reference	forest	NA	leaves	senesced	Liriodendron tulipifera	3	21	13-Dec-06	12	NA	NA	NA	3.5	NA	NA	NA	8.2	NA	NA	9	NA	0.010351438	afdm	NA	NA	NA	NA	NA	NA	NA	NA	53.6452614	NA	NA	NA	NA	"Coweeta, NC Catchment 53"	820	35.059807_-83.430569	3	n	y	n	n	NA	ea	ea	NA	
