First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	C_method	N_method	P_method	Ratio_Type	Notes
Royer	Rapid breakdown of allochthonous and autochthonous plant material in a eutrophic river	1997	Hydrobiologia	10.1023/A:1002902327258	river	NA	NA	NA	litter_bag	5	field	autochthonous_vs_allochthonous	NA	open	leaves	senesced	Populus_tremuloides	1	0	20-Jul-94	18.5	7.3	665	NA	105	NA	1422	45	NA	NA	100	NA	NA	NA	dm	NA	NA	NA	NA	NA	NA	NA	NA	57.8214	NA	NA	NA	dm	"Snake River, Twin Falls, Idaho, USA"	NA	42.65_-114.6333	3	n  	n	n	n	ea	ea	NA	molar	"The objective of this study was to determine whether differences existed between decomposition of autochthonous macrophytes (breakdown measured in spring and fall) and allocthonous litter (breakdown measured only in July). Water chem: Converted mg/L SRP to ug/L. No initial mass provided; paper says leaves were divided into samples, but does not report how much in each bag. Authors report sample size of ""three to four bags""- I note only the more conservative number since they do not specify."
Royer	Rapid breakdown of allochthonous and autochthonous plant material in a eutrophic river	1997	Hydrobiologia	10.1023/A:1002902327258	river	NA	NA	NA	litter_bag	5	field	autochthonous_vs_allochthonous	NA	open	leaves	senesced	Populus_tremuloides	1	1	20-Jul-94	18.5	7.3	665	NA	105	NA	1422	45	NA	NA	73.9514	NA	NA	NA	dm	NA	NA	NA	NA	NA	NA	NA	NA	48.5261	NA	NA	NA	dm	"Snake River, Twin Falls, Idaho, USA"	NA	42.65_-114.6333	3	n  	n	n	n	ea	ea	NA	molar	
Royer	Rapid breakdown of allochthonous and autochthonous plant material in a eutrophic river	1997	Hydrobiologia	10.1023/A:1002902327258	river	NA	NA	NA	litter_bag	5	field	autochthonous_vs_allochthonous	NA	open	leaves	senesced	Populus_tremuloides	1	4	20-Jul-94	18.5	7.3	665	NA	105	NA	1422	45	NA	NA	78.8	NA	NA	NA	dm	NA	NA	NA	NA	NA	NA	NA	NA	37.02486667	NA	NA	NA	dm	"Snake River, Twin Falls, Idaho, USA"	NA	42.65_-114.6333	3	n  	n	n	n	ea	ea	NA	molar	
Royer	Rapid breakdown of allochthonous and autochthonous plant material in a eutrophic river	1997	Hydrobiologia	10.1023/A:1002902327258	river	NA	NA	NA	litter_bag	5	field	autochthonous_vs_allochthonous	NA	open	leaves	senesced	Populus_tremuloides	1	8	20-Jul-94	18.5	7.3	665	NA	105	NA	1422	45	NA	NA	50.6202	NA	NA	NA	dm	NA	NA	NA	NA	NA	NA	NA	NA	34.21798333	NA	NA	NA	dm	"Snake River, Twin Falls, Idaho, USA"	NA	42.65_-114.6333	3	n  	n	n	n	ea	ea	NA	molar	
Royer	Rapid breakdown of allochthonous and autochthonous plant material in a eutrophic river	1997	Hydrobiologia	10.1023/A:1002902327258	river	NA	NA	NA	litter_bag	5	field	autochthonous_vs_allochthonous	NA	open	leaves	senesced	Populus_tremuloides	1	13	20-Jul-94	18.5	7.3	665	NA	105	NA	1422	45	NA	NA	31.008	NA	NA	NA	dm	NA	NA	NA	NA	NA	NA	NA	NA	25.8545	NA	NA	NA	dm	"Snake River, Twin Falls, Idaho, USA"	NA	42.65_-114.6333	3	n  	n	n	n	ea	ea	NA	molar	
Royer	Rapid breakdown of allochthonous and autochthonous plant material in a eutrophic river	1997	Hydrobiologia	10.1023/A:1002902327258	river	NA	NA	NA	litter_bag	5	field	autochthonous_vs_allochthonous	NA	open	leaves	senesced	Populus_tremuloides	1	31	20-Jul-94	18.5	7.3	665	NA	105	NA	1422	45	NA	NA	25.038	NA	NA	NA	dm	NA	NA	NA	NA	NA	NA	NA	NA	17.76868333	NA	NA	NA	dm	"Snake River, Twin Falls, Idaho, USA"	NA	42.65_-114.6333	3	n  	n	n	n	ea	ea	NA	molar	
Royer	Rapid breakdown of allochthonous and autochthonous plant material in a eutrophic river	1997	Hydrobiologia	10.1023/A:1002902327258	river	NA	NA	NA	litter_bag	5	field	autochthonous_vs_allochthonous	NA	open	macrophyte	green	Ceratophyllum_demersum	2	0	11-Jun-94	18.5	8	448	NA	10	NA	820	20	NA	NA	100	NA	NA	NA	afdm	NA	NA	NA	NA	NA	NA	NA	NA	9.82415	NA	NA	NA	dm	"Snake River, Twin Falls, Idaho, USA"	NA	42.65_-114.6333	3	n  	n	n	n	ea	ea	NA	molar	
Royer	Rapid breakdown of allochthonous and autochthonous plant material in a eutrophic river	1997	Hydrobiologia	10.1023/A:1002902327258	river	NA	NA	NA	litter_bag	5	field	autochthonous_vs_allochthonous	NA	open	macrophyte	green	Ceratophyllum_demersum	2	1	11-Jun-94	18.5	8	448	NA	10	NA	820	20	NA	NA	77.7556	NA	NA	NA	afdm	NA	NA	NA	NA	NA	NA	NA	NA	9.8553	NA	NA	NA	dm	"Snake River, Twin Falls, Idaho, USA"	NA	42.65_-114.6333	3	n  	n	n	n	ea	ea	NA	molar	
Royer	Rapid breakdown of allochthonous and autochthonous plant material in a eutrophic river	1997	Hydrobiologia	10.1023/A:1002902327258	river	NA	NA	NA	litter_bag	5	field	autochthonous_vs_allochthonous	NA	open	macrophyte	green	Ceratophyllum_demersum	2	2	11-Jun-94	18.5	8	448	NA	10	NA	820	20	NA	NA	63.2928	NA	NA	NA	afdm	NA	NA	NA	NA	NA	NA	NA	NA	11.00971667	NA	NA	NA	dm	"Snake River, Twin Falls, Idaho, USA"	NA	42.65_-114.6333	3	n  	n	n	n	ea	ea	NA	molar	
Royer	Rapid breakdown of allochthonous and autochthonous plant material in a eutrophic river	1997	Hydrobiologia	10.1023/A:1002902327258	river	NA	NA	NA	litter_bag	5	field	autochthonous_vs_allochthonous	NA	open	macrophyte	green	Ceratophyllum_demersum	2	4	11-Jun-94	18.5	8	448	NA	10	NA	820	20	NA	NA	14.9963	NA	NA	NA	afdm	NA	NA	NA	NA	NA	NA	NA	NA	10.79458333	NA	NA	NA	dm	"Snake River, Twin Falls, Idaho, USA"	NA	42.65_-114.6333	3	n  	n	n	n	ea	ea	NA	molar	
