First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	Ratio_Type	C_Method	N_Method	P_Method	Notes
Schaller	Silica decouples fungal growth and litter decomposition without changing responses to climate warming and N enrichment	2014	Ecology	10.1890/13-2104.1	wetland	NA	NA	NA	litter_bag	1	outdoor_mesocosm	"unenclosed control (""L""), Silica control"	NA	NA	leaves	senesced	Phragmites_australis	1	0	12December2019	4.981539992	NA	NA	NA	NA	NA	866.2420382	NA	NA	NA	100	1	NA	0.365079365	afdm	NA	NA	NA	NA	NA	44.86215539	0.618181818	0.052727273	84.65625174	2194.03234	13.67653392	NA	afdm	Lake Hallwil Switzerland	457	47.275486_8.218020	4	n	n	n	n	molar	ea	ea	acid_digest	"Start date ~early December 2009. study site described as 'littoral marsh' of Lake Hallwil. Altitude estimated from google earth. % mass loss data included for Phragmites sheaths and culms too (included only leaf blade data here because this is what litter chem data were from). For temp and nitrate data, used monthly data from Dec (beginning) and April (end of leaf blade decomp). Initial mass 0.8-1.1 g (recorded as ""1"" in the data here)"
Schaller	Silica decouples fungal growth and litter decomposition without changing responses to climate warming and N enrichment	2014	Ecology	10.1890/13-2104.1	wetland	NA	NA	NA	litter_bag	1	outdoor_mesocosm	"unenclosed control (""L""), Silica control"	NA	NA	leaves	senesced	Phragmites_australis	1	120	12December2019	9.100292508	NA	NA	NA	NA	NA	815.2866242	NA	NA	NA	56.19047619	1	NA	0.365079365	afdm	NA	NA	NA	NA	NA	45.23809524	1.072727273	0.034545455	49.19377113	3376.848658	36.2237609	203.9877301	afdm	Lake Hallwil Switzerland	457	47.275486_8.218020	4	n	n	n	n	molar	ea	ea	acid_digest	"Start date ~early December 2009. study site described as 'littoral marsh' of Lake Hallwil. Altitude estimated from google earth. % mass loss data included for Phragmites sheaths and culms too (included only leaf blade data here because this is what litter chem data were from). For temp and nitrate data, used monthly data from Dec (beginning) and April (end of leaf blade decomp). Initial mass 0.8-1.1 g (recorded as ""1"" in the data here)"
Schaller	Silica decouples fungal growth and litter decomposition without changing responses to climate warming and N enrichment	2014	Ecology	10.1890/13-2104.1	wetland	NA	NA	NA	litter_bag	1	outdoor_mesocosm	"unenclosed control (""L""), Silica 10g"	NA	NA	leaves	senesced	Phragmites_australis	2	0	12December2019	4.981539992	NA	NA	NA	NA	NA	866.2420382	NA	NA	NA	100	1	NA	0.369047619	afdm	NA	NA	NA	NA	NA	41.85463659	0.645454545	0.094545455	75.64374811	1141.566247	15.09134959	NA	afdm	Lake Hallwil Switzerland	457	47.275486_8.218020	4	n	n	n	n	molar	ea	ea	acid_digest	"Start date ~early December 2009. study site described as 'littoral marsh' of Lake Hallwil. Altitude estimated from google earth. % mass loss data included for Phragmites sheaths and culms too (included only leaf blade data here because this is what litter chem data were from). For temp and nitrate data, used monthly data from Dec (beginning) and April (end of leaf blade decomp). Initial mass 0.8-1.1 g (recorded as ""1"" in the data here)"
Schaller	Silica decouples fungal growth and litter decomposition without changing responses to climate warming and N enrichment	2014	Ecology	10.1890/13-2104.1	wetland	NA	NA	NA	litter_bag	1	outdoor_mesocosm	"unenclosed control (""L""), Silica 10g"	NA	NA	leaves	senesced	Phragmites_australis	2	120	12December2019	9.100292508	NA	NA	NA	NA	NA	815.2866242	NA	NA	NA	55.71428571	1	NA	0.369047619	afdm	NA	NA	NA	NA	NA	45.11278195	1.1	0.031818182	47.84119864	3656.136893	76.42235138	207.0552147	afdm	Lake Hallwil Switzerland	457	47.275486_8.218020	4	n	n	n	n	molar	ea	ea	acid_digest	"Start date ~early December 2009. study site described as 'littoral marsh' of Lake Hallwil. Altitude estimated from google earth. % mass loss data included for Phragmites sheaths and culms too (included only leaf blade data here because this is what litter chem data were from). For temp and nitrate data, used monthly data from Dec (beginning) and April (end of leaf blade decomp). Initial mass 0.8-1.1 g (recorded as ""1"" in the data here)"
Schaller	Silica decouples fungal growth and litter decomposition without changing responses to climate warming and N enrichment	2014	Ecology	10.1890/13-2104.1	wetland	NA	NA	NA	litter_bag	1	outdoor_mesocosm	"unenclosed control (""L""), Silica 100g"	NA	NA	leaves	senesced	Phragmites_australis	3	0	12December2019	4.981539992	NA	NA	NA	NA	NA	866.2420382	NA	NA	NA	100	1	NA	0.420634921	afdm	NA	NA	NA	NA	NA	37.59398496	0.527272727	0.039090909	83.17219878	2479.937815	29.81690819	NA	afdm	Lake Hallwil Switzerland	457	47.275486_8.218020	4	n	n	n	n	molar	ea	ea	acid_digest	"Start date ~early December 2009. study site described as 'littoral marsh' of Lake Hallwil. Altitude estimated from google earth. % mass loss data included for Phragmites sheaths and culms too (included only leaf blade data here because this is what litter chem data were from). For temp and nitrate data, used monthly data from Dec (beginning) and April (end of leaf blade decomp). Initial mass 0.8-1.1 g (recorded as ""1"" in the data here)"
Schaller	Silica decouples fungal growth and litter decomposition without changing responses to climate warming and N enrichment	2014	Ecology	10.1890/13-2104.1	wetland	NA	NA	NA	litter_bag	1	outdoor_mesocosm	"unenclosed control (""L""), Silica 100g"	NA	NA	leaves	senesced	Phragmites_australis	3	120	12December2019	9.100292508	NA	NA	NA	NA	NA	815.2866242	NA	NA	NA	49.52380952	1	NA	0.420634921	afdm	NA	NA	NA	NA	NA	44.11027569	1.063636364	0.028181818	48.37731083	4036.165459	83.43095945	107.8732106	afdm	Lake Hallwil Switzerland	457	47.275486_8.218020	4	n	n	n	n	molar	ea	ea	acid_digest	"Start date ~early December 2009. study site described as 'littoral marsh' of Lake Hallwil. Altitude estimated from google earth. % mass loss data included for Phragmites sheaths and culms too (included only leaf blade data here because this is what litter chem data were from). For temp and nitrate data, used monthly data from Dec (beginning) and April (end of leaf blade decomp). Initial mass 0.8-1.1 g (recorded as ""1"" in the data here)"
Schaller	Silica decouples fungal growth and litter decomposition without changing responses to climate warming and N enrichment	2014	Ecology	10.1890/13-2104.1	wetland	NA	NA	NA	litter_bag	1	outdoor_mesocosm	"enclosed control (""C""), Silica control"	NA	NA	leaves	senesced	Phragmites_australis	4	0	12December2019	4.981539992	NA	NA	NA	NA	NA	356.6878981	NA	NA	NA	100	1	NA	0.321428571	afdm	NA	NA	NA	NA	NA	44.86215539	0.618181818	0.052727273	84.65625174	2194.03234	25.91695587	NA	afdm	Lake Hallwil Switzerland	457	47.275486_8.218020	4	n	n	n	n	molar	ea	ea	acid_digest	"Start date ~early December 2009. study site described as 'littoral marsh' of Lake Hallwil. Altitude estimated from google earth. % mass loss data included for Phragmites sheaths and culms too (included only leaf blade data here because this is what litter chem data were from). For temp and nitrate data, used monthly data from Dec (beginning) and April (end of leaf blade decomp). Initial mass 0.8-1.1 g (recorded as ""1"" in the data here)"
Schaller	Silica decouples fungal growth and litter decomposition without changing responses to climate warming and N enrichment	2014	Ecology	10.1890/13-2104.1	wetland	NA	NA	NA	litter_bag	1	outdoor_mesocosm	"enclosed control (""C""), Silica control"	NA	NA	leaves	senesced	Phragmites_australis	4	120	12December2019	10.06842087	NA	NA	NA	NA	NA	662.4203822	NA	NA	NA	61.42857143	1	NA	0.321428571	afdm	NA	NA	NA	NA	NA	45.36340852	0.872727273	0.027272727	60.63484325	4289.190225	70.73804425	113.4969325	afdm	Lake Hallwil Switzerland	457	47.275486_8.218020	4	n	n	n	n	molar	ea	ea	acid_digest	"Start date ~early December 2009. study site described as 'littoral marsh' of Lake Hallwil. Altitude estimated from google earth. % mass loss data included for Phragmites sheaths and culms too (included only leaf blade data here because this is what litter chem data were from). For temp and nitrate data, used monthly data from Dec (beginning) and April (end of leaf blade decomp). Initial mass 0.8-1.1 g (recorded as ""1"" in the data here)"
Schaller	Silica decouples fungal growth and litter decomposition without changing responses to climate warming and N enrichment	2014	Ecology	10.1890/13-2104.1	wetland	NA	NA	NA	litter_bag	1	outdoor_mesocosm	"enclosed control (""C""), Silica 10g"	NA	NA	leaves	senesced	Phragmites_australis	5	0	12December2019	4.981539992	NA	NA	NA	NA	NA	356.6878981	NA	NA	NA	100	1	NA	0.293650794	afdm	NA	NA	NA	NA	NA	41.85463659	0.645454545	0.094545455	75.64374811	1141.566247	15.09134959	NA	afdm	Lake Hallwil Switzerland	457	47.275486_8.218020	4	n	n	n	n	molar	ea	ea	acid_digest	"Start date ~early December 2009. study site described as 'littoral marsh' of Lake Hallwil. Altitude estimated from google earth. % mass loss data included for Phragmites sheaths and culms too (included only leaf blade data here because this is what litter chem data were from). For temp and nitrate data, used monthly data from Dec (beginning) and April (end of leaf blade decomp). Initial mass 0.8-1.1 g (recorded as ""1"" in the data here)"
Schaller	Silica decouples fungal growth and litter decomposition without changing responses to climate warming and N enrichment	2014	Ecology	10.1890/13-2104.1	wetland	NA	NA	NA	litter_bag	1	outdoor_mesocosm	"enclosed control (""C""), Silica 10g"	NA	NA	leaves	senesced	Phragmites_australis	5	120	12December2019	10.06842087	NA	NA	NA	NA	NA	662.4203822	NA	NA	NA	64.76190476	1	NA	0.293650794	afdm	NA	NA	NA	NA	NA	45.11278195	0.836363636	0.023636364	62.92157647	4921.72274	78.21995278	98.67075665	afdm	Lake Hallwil Switzerland	457	47.275486_8.218020	4	n	n	n	n	molar	ea	ea	acid_digest	"Start date ~early December 2009. study site described as 'littoral marsh' of Lake Hallwil. Altitude estimated from google earth. % mass loss data included for Phragmites sheaths and culms too (included only leaf blade data here because this is what litter chem data were from). For temp and nitrate data, used monthly data from Dec (beginning) and April (end of leaf blade decomp). Initial mass 0.8-1.1 g (recorded as ""1"" in the data here)"
