First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	Ratio_Type	C_Method	N_Method	P_Method	Notes
Shaftel	"Breakdown rates, nutrient concentrations, and macroinvertebrate colonization of bluejoint grass litter in headwater streams of the Kenai Peninsula, Alaska"	2011	Journal of the North American Benthological Society	10.1899/10-086.1	stream	20	0.34	riffle	leaf_pack	coarse	field	NA	NA	NA	leaves	senesced	Calamagrostis canadensis	1	0	June2009	4.5	7.6	53.3	4.1	40.2	54.4	331.7	7.1	338.8	488	100	4.06	NA	NA	afdm	NA	NA	NA	NA	NA	NA	0.380082988	0.079919679	NA	NA	10.53072714	NA	dm	"Kenai Peninsula, AK, Kenai lowlands"	377	59.91_-151.49	5	y	y	n	n	NA	ea	ea	molybdate_method	"Methods stated %C was measured, but apparently it wasn't reported. More info on LULC available in companion paper Shaftel et al 2012 publised in Biogeochemistry. Lots of N fixing alder and wetlands in area, depending on watershed. Very little human influence. Initial mass in dry mass but mass remaining was afdm. different time series are different streams"
Shaftel	"Breakdown rates, nutrient concentrations, and macroinvertebrate colonization of bluejoint grass litter in headwater streams of the Kenai Peninsula, Alaska"	2011	Journal of the North American Benthological Society	10.1899/10-086.1	stream	20	0.34	riffle	leaf_pack	coarse	field	NA	NA	NA	leaves	senesced	Calamagrostis canadensis	1	14	June2009	4.5	7.6	53.3	4.1	40.2	54.4	331.7	7.1	338.8	488	96.54	4.06	NA	NA	afdm	NA	NA	NA	NA	NA	NA	0.579253112	0.097590361	NA	NA	13.14301814	NA	dm	"Kenai Peninsula, AK, Kenai lowlands"	377	59.91_-151.49	5	y	y	n	n	NA	ea	ea	molybdate_method	
Shaftel	"Breakdown rates, nutrient concentrations, and macroinvertebrate colonization of bluejoint grass litter in headwater streams of the Kenai Peninsula, Alaska"	2011	Journal of the North American Benthological Society	10.1899/10-086.1	stream	20	0.34	riffle	leaf_pack	coarse	field	NA	NA	NA	leaves	senesced	Calamagrostis canadensis	1	28	June2009	4.5	7.6	53.3	4.1	40.2	54.4	331.7	7.1	338.8	488	90.86	4.06	NA	NA	afdm	NA	NA	NA	NA	NA	NA	0.572614108	0.087309237	NA	NA	14.52230352	NA	dm	"Kenai Peninsula, AK, Kenai lowlands"	377	59.91_-151.49	5	y	y	n	n	NA	ea	ea	molybdate_method	
Shaftel	"Breakdown rates, nutrient concentrations, and macroinvertebrate colonization of bluejoint grass litter in headwater streams of the Kenai Peninsula, Alaska"	2011	Journal of the North American Benthological Society	10.1899/10-086.1	stream	20	0.34	riffle	leaf_pack	coarse	field	NA	NA	NA	leaves	senesced	Calamagrostis canadensis	1	42	June2009	4.5	7.6	53.3	4.1	40.2	54.4	331.7	7.1	338.8	488	83.5	4.06	NA	NA	afdm	NA	NA	NA	NA	NA	NA	0.705394191	0.107228916	NA	NA	14.56644665	NA	dm	"Kenai Peninsula, AK, Kenai lowlands"	377	59.91_-151.49	5	y	y	n	n	NA	ea	ea	molybdate_method	
Shaftel	"Breakdown rates, nutrient concentrations, and macroinvertebrate colonization of bluejoint grass litter in headwater streams of the Kenai Peninsula, Alaska"	2011	Journal of the North American Benthological Society	10.1899/10-086.1	stream	20	0.34	riffle	leaf_pack	coarse	field	NA	NA	NA	leaves	senesced	Calamagrostis canadensis	1	56	June2009	4.5	7.6	53.3	4.1	40.2	54.4	331.7	7.1	11.9	488	81.92	4.06	NA	NA	afdm	NA	NA	NA	NA	NA	NA	0.776763485	0.11751004	NA	NA	14.63684539	NA	dm	"Kenai Peninsula, AK, Kenai lowlands"	377	59.91_-151.49	5	y	y	n	n	NA	ea	ea	molybdate_method	
Shaftel	"Breakdown rates, nutrient concentrations, and macroinvertebrate colonization of bluejoint grass litter in headwater streams of the Kenai Peninsula, Alaska"	2011	Journal of the North American Benthological Society	10.1899/10-086.1	stream	20	0.21	riffle	leaf_pack	coarse	field	NA	NA	NA	leaves	senesced	Calamagrostis canadensis	2	0	June2009	4.5	7.6	72.8	2.1	52.5	59.3	323.2	6.1	329.3	511	100	4.06	NA	NA	afdm	NA	NA	NA	NA	NA	NA	0.380082988	0.079919679	NA	NA	10.53072714	NA	dm	"Kenai Peninsula, AK, Kenai lowlands"	411	59.78_-151.55	5	y	y	n	n	NA	ea	ea	molybdate_method	
Shaftel	"Breakdown rates, nutrient concentrations, and macroinvertebrate colonization of bluejoint grass litter in headwater streams of the Kenai Peninsula, Alaska"	2011	Journal of the North American Benthological Society	10.1899/10-086.1	stream	20	0.21	riffle	leaf_pack	coarse	field	NA	NA	NA	leaves	senesced	Calamagrostis canadensis	2	14	June2009	7.3	7.8	72.8	2.1	52.5	59.3	323.2	6.1	329.3	511	92.56	4.06	NA	NA	afdm	NA	NA	NA	NA	NA	NA	0.678838174	0.096626506	NA	NA	15.55620433	NA	dm	"Kenai Peninsula, AK, Kenai lowlands"	411	59.78_-151.55	5	y	y	n	n	NA	ea	ea	molybdate_method	
Shaftel	"Breakdown rates, nutrient concentrations, and macroinvertebrate colonization of bluejoint grass litter in headwater streams of the Kenai Peninsula, Alaska"	2011	Journal of the North American Benthological Society	10.1899/10-086.1	stream	20	0.21	riffle	leaf_pack	coarse	field	NA	NA	NA	leaves	senesced	Calamagrostis canadensis	2	28	June2009	7.3	7.8	72.8	2.1	52.5	59.3	323.2	6.1	329.3	511	91.62	4.06	NA	NA	afdm	NA	NA	NA	NA	NA	NA	0.647302905	0.111084337	NA	NA	12.90293131	NA	dm	"Kenai Peninsula, AK, Kenai lowlands"	411	59.78_-151.55	5	y	y	n	n	NA	ea	ea	molybdate_method	
Shaftel	"Breakdown rates, nutrient concentrations, and macroinvertebrate colonization of bluejoint grass litter in headwater streams of the Kenai Peninsula, Alaska"	2011	Journal of the North American Benthological Society	10.1899/10-086.1	stream	20	0.21	riffle	leaf_pack	coarse	field	NA	NA	NA	leaves	senesced	Calamagrostis canadensis	2	42	June2009	7.3	7.8	72.8	2.1	52.5	59.3	323.2	6.1	329.3	511	82.86	4.06	NA	NA	afdm	NA	NA	NA	NA	NA	NA	0.75186722	0.111084337	NA	NA	14.98725098	NA	dm	"Kenai Peninsula, AK, Kenai lowlands"	411	59.78_-151.55	5	y	y	n	n	NA	ea	ea	molybdate_method	
Shaftel	"Breakdown rates, nutrient concentrations, and macroinvertebrate colonization of bluejoint grass litter in headwater streams of the Kenai Peninsula, Alaska"	2011	Journal of the North American Benthological Society	10.1899/10-086.1	stream	20	0.21	riffle	leaf_pack	coarse	field	NA	NA	NA	leaves	senesced	Calamagrostis canadensis	2	56	June2009	7.3	7.8	72.8	2.1	52.5	59.3	323.2	6.1	11.9	511	71.11	4.06	NA	NA	afdm	NA	NA	NA	NA	NA	NA	0.756846473	0.103694779	NA	NA	16.16160763	NA	dm	"Kenai Peninsula, AK, Kenai lowlands"	411	59.78_-151.55	5	y	y	n	n	NA	ea	ea	molybdate_method	
