First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	C_method	N_method	P_method	Ratio_type	Notes
Suberkropp	Changes in the Chemical Composition of Leaves During Processing in a Woodland Stream	1976	Ecology	10.2307/1936185	stream	NA	NA	NA	nylon_string	NA	field	NA	NA	NA	leaves	senesced	Quercus_alba	1	0	November	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	4.38	NA	0.00811	afdm	NA	NA	12.2	18.39	16.44	NA	0.71	NA	NA	NA	NA	NA	dm	Augusta Creek; Kalamazoo and Barry Counties; Michigan	NA	NA	3	n	n	n	n	NA	digestion	NA	NA	"""temperatures ranged from <5C to 20C; soluble (but not total) phenolics reported"""
Suberkropp	Changes in the Chemical Composition of Leaves During Processing in a Woodland Stream	1976	Ecology	10.2307/1936185	stream	NA	NA	NA	nylon_string	NA	field	NA	NA	NA	leaves	senesced	Quercus_alba	1	14	November	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	92.1370457	4.38	NA	0.00811	afdm	NA	NA	14.16097011	21.34038741	16.19261455	NA	0.84173033	NA	NA	NA	NA	NA	dm	Augusta Creek; Kalamazoo and Barry Counties; Michigan	NA	NA	3	n	n	n	n	NA	digestion	NA	NA	review1: added _ between genus and species names; discrepancy between initital mass in the text (5g) and figure (around 4) not clear if because of a leaching phase; Andrew reported altitude but from where?
Suberkropp	Changes in the Chemical Composition of Leaves During Processing in a Woodland Stream	1976	Ecology	10.2307/1936185	stream	NA	NA	NA	nylon_string	NA	field	NA	NA	NA	leaves	senesced	Quercus_alba	1	28	November	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	86.13163343	4.38	NA	0.00811	afdm	NA	NA	16.0374312	21.51312909	16.87846312	NA	0.940602056	NA	NA	NA	NA	NA	dm	Augusta Creek; Kalamazoo and Barry Counties; Michigan	NA	NA	3	n	n	n	n	NA	digestion	NA	NA	
Suberkropp	Changes in the Chemical Composition of Leaves During Processing in a Woodland Stream	1976	Ecology	10.2307/1936185	stream	NA	NA	NA	nylon_string	NA	field	NA	NA	NA	leaves	senesced	Quercus_alba	1	42	November	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	88.4733744	4.38	NA	0.00811	afdm	NA	NA	18.5829595	21.46585041	16.92793853	NA	1.106735041	NA	NA	NA	NA	NA	dm	Augusta Creek; Kalamazoo and Barry Counties; Michigan	NA	NA	3	n	n	n	n	NA	digestion	NA	NA	
Suberkropp	Changes in the Chemical Composition of Leaves During Processing in a Woodland Stream	1976	Ecology	10.2307/1936185	stream	NA	NA	NA	nylon_string	NA	field	NA	NA	NA	leaves	senesced	Quercus_alba	1	56	November	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	83.67379609	4.38	NA	0.00811	afdm	NA	NA	18.45410805	20.94749846	17.74183925	NA	1.116241603	NA	NA	NA	NA	NA	dm	Augusta Creek; Kalamazoo and Barry Counties; Michigan	NA	NA	3	n	n	n	n	NA	digestion	NA	NA	
Suberkropp	Changes in the Chemical Composition of Leaves During Processing in a Woodland Stream	1976	Ecology	10.2307/1936185	stream	NA	NA	NA	nylon_string	NA	field	NA	NA	NA	leaves	senesced	Quercus_alba	1	84	November	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	79.082189	4.38	NA	0.00811	afdm	NA	NA	20.5823214	20.6648418	19.18045039	NA	1.243620354	NA	NA	NA	NA	NA	dm	Augusta Creek; Kalamazoo and Barry Counties; Michigan	NA	NA	3	n	n	n	n	NA	digestion	NA	NA	
Suberkropp	Changes in the Chemical Composition of Leaves During Processing in a Woodland Stream	1976	Ecology	10.2307/1936185	stream	NA	NA	NA	nylon_string	NA	field	NA	NA	NA	leaves	senesced	Quercus_alba	1	112	November	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	64.65913974	4.38	NA	0.00811	afdm	NA	NA	20.48345921	18.1505683	18.76930303	NA	1.550180467	NA	NA	NA	NA	NA	dm	Augusta Creek; Kalamazoo and Barry Counties; Michigan	NA	NA	3	n	n	n	n	NA	digestion	NA	NA	
Suberkropp	Changes in the Chemical Composition of Leaves During Processing in a Woodland Stream	1976	Ecology	10.2307/1936185	stream	NA	NA	NA	nylon_string	NA	field	NA	NA	NA	leaves	senesced	Quercus_alba	1	140	November	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	51.90385067	4.38	NA	0.00811	afdm	NA	NA	25.469152	18.96890184	16.32253908	NA	1.866383244	NA	NA	NA	NA	NA	dm	Augusta Creek; Kalamazoo and Barry Counties; Michigan	NA	NA	3	n	n	n	n	NA	digestion	NA	NA	
Suberkropp	Changes in the Chemical Composition of Leaves During Processing in a Woodland Stream	1976	Ecology	10.2307/1936185	stream	NA	NA	NA	nylon_string	NA	field	NA	NA	NA	leaves	senesced	Quercus_alba	1	168	November	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34.51240913	4.38	NA	0.00811	afdm	NA	NA	26.92900656	18.62329157	18.55553369	NA	2.019539068	NA	NA	NA	NA	NA	dm	Augusta Creek; Kalamazoo and Barry Counties; Michigan	NA	NA	3	n	n	n	n	NA	digestion	NA	NA	
Suberkropp	Changes in the Chemical Composition of Leaves During Processing in a Woodland Stream	1976	Ecology	10.2307/1936185	stream	NA	NA	NA	nylon_string	NA	field	NA	NA	NA	leaves	senesced	Quercus_alba	1	196	November	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.36688683	4.38	NA	0.00811	afdm	NA	NA	28.45201956	15.63908709	18.97339308	NA	2.121544303	NA	NA	NA	NA	NA	dm	Augusta Creek; Kalamazoo and Barry Counties; Michigan	NA	NA	3	n	n	n	n	NA	digestion	NA	NA	
Suberkropp	Changes in the Chemical Composition of Leaves During Processing in a Woodland Stream	1976	Ecology	10.2307/1936185	stream	NA	NA	NA	nylon_string	NA	field	NA	NA	NA	leaves	senesced	Quercus_alba	1	224	November	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.75514429	4.38	NA	0.00811	afdm	NA	NA	NA	NA	NA	NA	2.530571765	NA	NA	NA	NA	NA	dm	Augusta Creek; Kalamazoo and Barry Counties; Michigan	NA	NA	3	n	n	n	n	NA	digestion	NA	NA	
Suberkropp	Changes in the Chemical Composition of Leaves During Processing in a Woodland Stream	1976	Ecology	10.2307/1936185	stream	NA	NA	NA	nylon_string	NA	field	NA	NA	NA	leaves	senesced	Carya_glabra	2	0	November	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	4.17	NA	0.01248	afdm	NA	NA	10.01	15.06	14.67	NA	1.48	NA	NA	NA	NA	NA	dm	Augusta Creek; Kalamazoo and Barry Counties; Michigan	NA	NA	3	n	n	n	n	NA	digestion	NA	NA	
Suberkropp	Changes in the Chemical Composition of Leaves During Processing in a Woodland Stream	1976	Ecology	10.2307/1936185	stream	NA	NA	NA	nylon_string	NA	field	NA	NA	NA	leaves	senesced	Carya_glabra	2	14	November	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	78.33665523	4.17	NA	0.01248	afdm	NA	NA	14.2008136	18.85911378	18.7085933	NA	1.503750716	NA	NA	NA	NA	NA	dm	Augusta Creek; Kalamazoo and Barry Counties; Michigan	NA	NA	3	n	n	n	n	NA	digestion	NA	NA	
Suberkropp	Changes in the Chemical Composition of Leaves During Processing in a Woodland Stream	1976	Ecology	10.2307/1936185	stream	NA	NA	NA	nylon_string	NA	field	NA	NA	NA	leaves	senesced	Carya_glabra	2	28	November	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	73.88586761	4.17	NA	0.01248	afdm	NA	NA	13.9479117	16.61290084	15.79779503	NA	2.053643681	NA	NA	NA	NA	NA	dm	Augusta Creek; Kalamazoo and Barry Counties; Michigan	NA	NA	3	n	n	n	n	NA	digestion	NA	NA	
Suberkropp	Changes in the Chemical Composition of Leaves During Processing in a Woodland Stream	1976	Ecology	10.2307/1936185	stream	NA	NA	NA	nylon_string	NA	field	NA	NA	NA	leaves	senesced	Carya_glabra	2	42	November	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65.35021985	4.17	NA	0.01248	afdm	NA	NA	18.49516857	14.9636684	18.30022278	NA	2.267633905	NA	NA	NA	NA	NA	dm	Augusta Creek; Kalamazoo and Barry Counties; Michigan	NA	NA	3	n	n	n	n	NA	digestion	NA	NA	
Suberkropp	Changes in the Chemical Composition of Leaves During Processing in a Woodland Stream	1976	Ecology	10.2307/1936185	stream	NA	NA	NA	nylon_string	NA	field	NA	NA	NA	leaves	senesced	Carya_glabra	2	56	November	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	57.59294655	4.17	NA	0.01248	afdm	NA	NA	19.41450542	14.63379653	18.73241068	NA	1.912143563	NA	NA	NA	NA	NA	dm	Augusta Creek; Kalamazoo and Barry Counties; Michigan	NA	NA	3	n	n	n	n	NA	digestion	NA	NA	
Suberkropp	Changes in the Chemical Composition of Leaves During Processing in a Woodland Stream	1976	Ecology	10.2307/1936185	stream	NA	NA	NA	nylon_string	NA	field	NA	NA	NA	leaves	senesced	Carya_glabra	2	70	November	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	50.90547587	4.17	NA	0.01248	afdm	NA	NA	18.48968714	15.49763184	18.43024252	NA	2.356774342	NA	NA	NA	NA	NA	dm	Augusta Creek; Kalamazoo and Barry Counties; Michigan	NA	NA	3	n	n	n	n	NA	digestion	NA	NA	
Suberkropp	Changes in the Chemical Composition of Leaves During Processing in a Woodland Stream	1976	Ecology	10.2307/1936185	stream	NA	NA	NA	nylon_string	NA	field	NA	NA	NA	leaves	senesced	Carya_glabra	2	84	November	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	46.35877827	4.17	NA	0.01248	afdm	NA	NA	18.45223069	13.81698605	14.91336249	NA	2.529256641	NA	NA	NA	NA	NA	dm	Augusta Creek; Kalamazoo and Barry Counties; Michigan	NA	NA	3	n	n	n	n	NA	digestion	NA	NA	
Suberkropp	Changes in the Chemical Composition of Leaves During Processing in a Woodland Stream	1976	Ecology	10.2307/1936185	stream	NA	NA	NA	nylon_string	NA	field	NA	NA	NA	leaves	senesced	Carya_glabra	2	98	November	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	39.28124446	4.17	NA	0.01248	afdm	NA	NA	19.97868332	15.05828921	16.68287814	NA	2.433144936	NA	NA	NA	NA	NA	dm	Augusta Creek; Kalamazoo and Barry Counties; Michigan	NA	NA	3	n	n	n	n	NA	digestion	NA	NA	
Suberkropp	Changes in the Chemical Composition of Leaves During Processing in a Woodland Stream	1976	Ecology	10.2307/1936185	stream	NA	NA	NA	nylon_string	NA	field	NA	NA	NA	leaves	senesced	Carya_glabra	2	112	November	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.93691255	4.17	NA	0.01248	afdm	NA	NA	21.72344814	15.82966139	20.7785158	NA	2.928688916	NA	NA	NA	NA	NA	dm	Augusta Creek; Kalamazoo and Barry Counties; Michigan	NA	NA	3	n	n	n	n	NA	digestion	NA	NA	
Suberkropp	Changes in the Chemical Composition of Leaves During Processing in a Woodland Stream	1976	Ecology	10.2307/1936185	stream	NA	NA	NA	nylon_string	NA	field	NA	NA	NA	leaves	senesced	Carya_glabra	2	126	November	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34.66102074	4.17	NA	0.01248	afdm	NA	NA	19.14292255	15.90613227	18.78848705	NA	2.746149318	NA	NA	NA	NA	NA	dm	Augusta Creek; Kalamazoo and Barry Counties; Michigan	NA	NA	3	n	n	n	n	NA	digestion	NA	NA	
