First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	C_method	N_method	P_method	Ratio_type	Notes
Suzuki	Decomposition of Egeria densa Planchon (Hydrocharitaceae) in a well oxygenated tropical aquatic ecosystem	2015	Journal of Limnology	10.4081/jlimnol.2014.1013	lake	NA	NA	NA	litter_bag	0.045	field	NA	NA	NA	macrophyte	green	Egeria_densa	1	0	16-Sep-03	24.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	5	NA	0.0384	dm	NA	NA	NA	NA	NA	36.01	0.81	0.35	51.86008573	265.3097895	5.115876415	NA	dm	"""Campelo Lake, Brazil"""	NA	-21.650000_-41.183333	3	n	n	n	n	ea	ea	molybdenum_blue	molar	E. densa was oven dried at 40°C
Suzuki	Decomposition of Egeria densa Planchon (Hydrocharitaceae) in a well oxygenated tropical aquatic ecosystem	2015	Journal of Limnology	10.4081/jlimnol.2014.1013	lake	NA	NA	NA	litter_bag	0.045	field	NA	NA	NA	macrophyte	green	Egeria_densa	1	1	16-Sep-03	24.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	89.11	5	NA	0.0384	dm	NA	NA	NA	NA	NA	35.88237835	0.798702929	0.120015432	52.40721389	770.9786044	14.71130685	NA	dm	"""Campelo Lake, Brazil"""	NA	-21.650000_-41.183333	3	n	n	n	n	ea	ea	molybdenum_blue	molar	4 time series - 2 seasons x 2 mesh sizes (start date: 16 Sept 2003 = dry season/7 Jan 2004 = wet season)
Suzuki	Decomposition of Egeria densa Planchon (Hydrocharitaceae) in a well oxygenated tropical aquatic ecosystem	2015	Journal of Limnology	10.4081/jlimnol.2014.1013	lake	NA	NA	NA	litter_bag	0.045	field	NA	NA	NA	macrophyte	green	Egeria_densa	1	3	16-Sep-03	24.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	84.08	5	NA	0.0384	dm	NA	NA	NA	NA	NA	34.89196085	0.906980755	0.127199869	44.87685695	707.3541563	15.76211447	NA	dm	"""Campelo Lake, Brazil"""	NA	-21.650000_-41.183333	3	n	n	n	n	ea	ea	molybdenum_blue	molar	"C:N molar extracted from figure 4, C:P molar and N:P molar are calculated"
Suzuki	Decomposition of Egeria densa Planchon (Hydrocharitaceae) in a well oxygenated tropical aquatic ecosystem	2015	Journal of Limnology	10.4081/jlimnol.2014.1013	lake	NA	NA	NA	litter_bag	0.045	field	NA	NA	NA	macrophyte	green	Egeria_densa	1	7	16-Sep-03	24.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	71.08	5	NA	0.0384	dm	NA	NA	NA	NA	NA	36.46690836	1.096635478	0.128961114	38.791072	729.1860752	18.79778097	NA	dm	"""Campelo Lake, Brazil"""	NA	-21.650000_-41.183333	3	n	n	n	n	ea	ea	molybdenum_blue	molar	"Review1: corrected the date and doi (excel increment); wrong calculation for %CNP, I recalculated and put my calculations on the raw extraction file on dropbox (in yellow). PLEASE CHECK"
Suzuki	Decomposition of Egeria densa Planchon (Hydrocharitaceae) in a well oxygenated tropical aquatic ecosystem	2015	Journal of Limnology	10.4081/jlimnol.2014.1013	lake	NA	NA	NA	litter_bag	0.045	field	NA	NA	NA	macrophyte	green	Egeria_densa	1	14	16-Sep-03	24.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	50.21	5	NA	0.0384	dm	NA	NA	NA	NA	NA	35.86205423	2.143250259	0.174281019	19.51899289	530.6195789	27.18478263	NA	dm	"""Campelo Lake, Brazil"""	NA	-21.650000_-41.183333	3	n	n	n	n	ea	ea	molybdenum_blue	molar	
Suzuki	Decomposition of Egeria densa Planchon (Hydrocharitaceae) in a well oxygenated tropical aquatic ecosystem	2015	Journal of Limnology	10.4081/jlimnol.2014.1013	lake	NA	NA	NA	litter_bag	0.045	field	NA	NA	NA	macrophyte	green	Egeria_densa	1	21	16-Sep-03	24.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	38.18	5	NA	0.0384	dm	NA	NA	NA	NA	NA	36.58759291	2.196941606	0.13095624	19.42721079	720.4533074	37.08475267	NA	dm	"""Campelo Lake, Brazil"""	NA	-21.650000_-41.183333	3	n	n	n	n	ea	ea	molybdenum_blue	molar	
Suzuki	Decomposition of Egeria densa Planchon (Hydrocharitaceae) in a well oxygenated tropical aquatic ecosystem	2015	Journal of Limnology	10.4081/jlimnol.2014.1013	lake	NA	NA	NA	litter_bag	0.045	field	NA	NA	NA	macrophyte	green	Egeria_densa	1	28	16-Sep-03	24.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	28.16	5	NA	0.0384	dm	NA	NA	NA	NA	NA	34.73006897	2.377301025	0.162783883	17.04184441	550.164344	32.28314557	NA	dm	"""Campelo Lake, Brazil"""	NA	-21.650000_-41.183333	3	n	n	n	n	ea	ea	molybdenum_blue	molar	
Suzuki	Decomposition of Egeria densa Planchon (Hydrocharitaceae) in a well oxygenated tropical aquatic ecosystem	2015	Journal of Limnology	10.4081/jlimnol.2014.1013	lake	NA	NA	NA	litter_bag	0.045	field	NA	NA	NA	macrophyte	green	Egeria_densa	1	35	16-Sep-03	24.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.9	5	NA	0.0384	dm	NA	NA	NA	NA	NA	35.25154147	3.700554111	0.212312312	11.11236457	428.1551085	38.52961317	NA	dm	"""Campelo Lake, Brazil"""	NA	-21.650000_-41.183333	3	n	n	n	n	ea	ea	molybdenum_blue	molar	
Suzuki	Decomposition of Egeria densa Planchon (Hydrocharitaceae) in a well oxygenated tropical aquatic ecosystem	2015	Journal of Limnology	10.4081/jlimnol.2014.1013	lake	NA	NA	NA	litter_bag	0.045	field	NA	NA	NA	macrophyte	green	Egeria_densa	1	42	16-Sep-03	24.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.92	5	NA	0.0384	dm	NA	NA	NA	NA	NA	35.62058355	3.807848283	0.192570677	10.91230564	476.989776	43.71118183	NA	dm	"""Campelo Lake, Brazil"""	NA	-21.650000_-41.183333	3	n	n	n	n	ea	ea	molybdenum_blue	molar	
Suzuki	Decomposition of Egeria densa Planchon (Hydrocharitaceae) in a well oxygenated tropical aquatic ecosystem	2015	Journal of Limnology	10.4081/jlimnol.2014.1013	lake	NA	NA	NA	litter_bag	0.045	field	NA	NA	NA	macrophyte	green	Egeria_densa	1	49	16-Sep-03	24.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.16	5	NA	0.0384	dm	NA	NA	NA	NA	NA	35.20396854	4.083593922	0.242820013	10.05643853	373.8568515	37.17587	NA	dm	"""Campelo Lake, Brazil"""	NA	-21.650000_-41.183333	3	n	n	n	n	ea	ea	molybdenum_blue	molar	
