First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	Ratio_Type	C_Method	N_Method	P_Method	Notes
Taylor	Habitat and nutrient enrichment affect decomposition of maize and willow oak detritus in Lower Mississippi River Basin bayous	2017	Freshwater Science	10.1086/694452	stream	NA	NA	pool	litter_bag	5	mesocosm	Control	NA	shaded	leaves	senesced	Zea mays	1	0	27May2015	28.5	NA	NA	NA	42.6	NA	69	NA	NA	NA	NA	10	NA	0.025	afdm	NA	NA	NA	NA	NA	42.18604651	0.713432836	0.085403727	68.38272912	1285.983513	18.80567695	NA	dm	"University of Mississippi Field Station, Abbeville MS"	120	34.432534_-89.389323	6	n	n	y	n	molar	ea	ea	acid_digestion_molybdate	TN calculated as TKN + Nox; Did not use non-mesocosm data because the authors only presented mean/sd of data across 3 locations (rather than each of those individual time series). Actually pretty nice experimental design.
Taylor	Habitat and nutrient enrichment affect decomposition of maize and willow oak detritus in Lower Mississippi River Basin bayous	2017	Freshwater Science	10.1086/694452	stream	NA	NA	pool	litter_bag	5	mesocosm	Control	NA	shaded	leaves	senesced	Zea mays	1	7	27May2015	28.5	NA	NA	NA	42.6	NA	69	NA	NA	NA	NA	10	NA	0.025	afdm	NA	NA	NA	NA	NA	41.85465116	0.613930348	0.041304348	83.45991003	2718.415789	32.57151593	NA	dm	"University of Mississippi Field Station, Abbeville MS"	120	34.432534_-89.389323	6	n	n	y	n	molar	ea	ea	acid_digestion_molybdate	
Taylor	Habitat and nutrient enrichment affect decomposition of maize and willow oak detritus in Lower Mississippi River Basin bayous	2017	Freshwater Science	10.1086/694452	stream	NA	NA	pool	litter_bag	5	mesocosm	Control	NA	shaded	leaves	senesced	Zea mays	1	14	27May2015	28.5	NA	NA	NA	42.6	NA	69	NA	NA	NA	NA	10	NA	0.025	afdm	NA	NA	NA	NA	NA	41.94186047	0.618905473	0.117080745	81.3120755	978.8128245	12.03773017	NA	dm	"University of Mississippi Field Station, Abbeville MS"	120	34.432534_-89.389323	6	n	n	y	n	molar	ea	ea	acid_digestion_molybdate	
Taylor	Habitat and nutrient enrichment affect decomposition of maize and willow oak detritus in Lower Mississippi River Basin bayous	2017	Freshwater Science	10.1086/694452	stream	NA	NA	pool	litter_bag	5	mesocosm	Control	NA	shaded	leaves	senesced	Zea mays	1	28	27May2015	28.5	NA	NA	NA	42.6	NA	69	NA	NA	NA	NA	10	NA	0.025	afdm	NA	NA	NA	NA	NA	41.31395349	0.76318408	0.122670807	63.61603599	850.7359147	13.37297902	NA	dm	"University of Mississippi Field Station, Abbeville MS"	120	34.432534_-89.389323	6	n	n	y	n	molar	ea	ea	acid_digestion_molybdate	
Taylor	Habitat and nutrient enrichment affect decomposition of maize and willow oak detritus in Lower Mississippi River Basin bayous	2017	Freshwater Science	10.1086/694452	stream	NA	NA	pool	litter_bag	5	mesocosm	Control	NA	shaded	leaves	senesced	Zea mays	1	49	27May2015	28.5	NA	NA	NA	42.6	NA	69	NA	NA	NA	NA	10	NA	0.025	afdm	NA	NA	NA	NA	NA	43.18023256	0.778109453	0.090372671	67.28808327	1241.238973	18.44663888	NA	dm	"University of Mississippi Field Station, Abbeville MS"	120	34.432534_-89.389323	6	n	n	y	n	molar	ea	ea	acid_digestion_molybdate	
Taylor	Habitat and nutrient enrichment affect decomposition of maize and willow oak detritus in Lower Mississippi River Basin bayous	2017	Freshwater Science	10.1086/694452	stream	NA	NA	pool	litter_bag	5	mesocosm	N-addition	NA	shaded	leaves	senesced	Zea mays	2	0	27May2015	28.2	NA	NA	NA	44.3	NA	354.2	NA	NA	NA	NA	10	NA	0.034473684	afdm	NA	NA	NA	NA	NA	42.18604651	0.728358209	0.085403727	68.38272912	1285.983513	18.80567695	NA	dm	"University of Mississippi Field Station, Abbeville MS"	120	34.432534_-89.389323	6	n	n	y	n	molar	ea	ea	acid_digestion_molybdate	
Taylor	Habitat and nutrient enrichment affect decomposition of maize and willow oak detritus in Lower Mississippi River Basin bayous	2017	Freshwater Science	10.1086/694452	stream	NA	NA	pool	litter_bag	5	mesocosm	N-addition	NA	shaded	leaves	senesced	Zea mays	2	7	27May2015	28.2	NA	NA	NA	44.3	NA	354.2	NA	NA	NA	NA	10	NA	0.034473684	afdm	NA	NA	NA	NA	NA	41.97674419	0.529353234	0.039440994	98.77260298	2915.517221	29.51746875	NA	dm	"University of Mississippi Field Station, Abbeville MS"	120	34.432534_-89.389323	6	n	n	y	n	molar	ea	ea	acid_digestion_molybdate	
Taylor	Habitat and nutrient enrichment affect decomposition of maize and willow oak detritus in Lower Mississippi River Basin bayous	2017	Freshwater Science	10.1086/694452	stream	NA	NA	pool	litter_bag	5	mesocosm	N-addition	NA	shaded	leaves	senesced	Zea mays	2	14	27May2015	28.2	NA	NA	NA	44.3	NA	354.2	NA	NA	NA	NA	10	NA	0.034473684	afdm	NA	NA	NA	NA	NA	41.5755814	0.6039801	0.048757764	83.498721	2304.933461	27.60441637	NA	dm	"University of Mississippi Field Station, Abbeville MS"	120	34.432534_-89.389323	6	n	n	y	n	molar	ea	ea	acid_digestion_molybdate	
Taylor	Habitat and nutrient enrichment affect decomposition of maize and willow oak detritus in Lower Mississippi River Basin bayous	2017	Freshwater Science	10.1086/694452	stream	NA	NA	pool	litter_bag	5	mesocosm	N-addition	NA	shaded	leaves	senesced	Zea mays	2	28	27May2015	28.2	NA	NA	NA	44.3	NA	354.2	NA	NA	NA	NA	10	NA	0.034473684	afdm	NA	NA	NA	NA	NA	40.98255814	0.678606965	0.130124224	70.99894152	859.7541941	12.10939453	NA	dm	"University of Mississippi Field Station, Abbeville MS"	120	34.432534_-89.389323	6	n	n	y	n	molar	ea	ea	acid_digestion_molybdate	
Taylor	Habitat and nutrient enrichment affect decomposition of maize and willow oak detritus in Lower Mississippi River Basin bayous	2017	Freshwater Science	10.1086/694452	stream	NA	NA	pool	litter_bag	5	mesocosm	N-addition	NA	shaded	leaves	senesced	Zea mays	2	49	27May2015	28.2	NA	NA	NA	44.3	NA	354.2	NA	NA	NA	NA	10	NA	0.034473684	afdm	NA	NA	NA	NA	NA	42.65697674	1.121393035	0.118322981	45.13936668	981.3564417	21.74058951	NA	dm	"University of Mississippi Field Station, Abbeville MS"	120	34.432534_-89.389323	6	n	n	y	n	molar	ea	ea	acid_digestion_molybdate	
Taylor	Habitat and nutrient enrichment affect decomposition of maize and willow oak detritus in Lower Mississippi River Basin bayous	2017	Freshwater Science	10.1086/694452	stream	NA	NA	pool	litter_bag	5	mesocosm	P-addition	NA	shaded	leaves	senesced	Zea mays	3	0	27May2015	28.5	NA	NA	NA	67.8	NA	69.7	NA	NA	NA	NA	10	NA	0.024210526	afdm	NA	NA	NA	NA	NA	42.18604651	0.708457711	0.083540373	68.65617006	1277.023043	18.60026625	NA	dm	"University of Mississippi Field Station, Abbeville MS"	120	34.432534_-89.389323	6	n	n	y	n	molar	ea	ea	acid_digestion_molybdate	
Taylor	Habitat and nutrient enrichment affect decomposition of maize and willow oak detritus in Lower Mississippi River Basin bayous	2017	Freshwater Science	10.1086/694452	stream	NA	NA	pool	litter_bag	5	mesocosm	P-addition	NA	shaded	leaves	senesced	Zea mays	3	7	27May2015	28.5	NA	NA	NA	67.8	NA	69.7	NA	NA	NA	NA	10	NA	0.024210526	afdm	NA	NA	NA	NA	NA	41.80232558	0.589054726	0.038198758	89.74905178	3085.766149	34.38215879	NA	dm	"University of Mississippi Field Station, Abbeville MS"	120	34.432534_-89.389323	6	n	n	y	n	molar	ea	ea	acid_digestion_molybdate	
