First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	C_method	N_method	P_method	Ratio_type	Notes
Titus	Decomposition of litter from submersed macrophytes: the indirect effects of high [CO2]	2002	Freshwater Biology	10.1046/J.1365-2427.2002.00869.X	lake	NA	NA	NA	litter_bag	1.3	field	NA	NA	NA	plant_shoot	green	Vallisneria_americana	1	0	27September1996	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	1.4	NA	NA	dm	NA	NA	NA	NA	NA	NA	2.856353591	NA	NA	NA	NA	NA	dm	NuthatchHollowPond_BroomeCo_NY_USA	850	42.08055556_-75.98611111	5	n	y	n	n	NA	digestion	NA	NA	"bags included a flap that allowed access to inverts excluded by the mesh; ash content not measured; macrophyte leaves were harvested = green?, no manipulation while decomposing but macrophytes were grown under ambient and high CO2, authors calculated k between each time point but %DM remaining could be used to calculate a ""total"" k"
Titus	Decomposition of litter from submersed macrophytes: the indirect effects of high [CO2]	2002	Freshwater Biology	10.1046/J.1365-2427.2002.00869.X	lake	NA	NA	NA	litter_bag	1.3	field	NA	NA	NA	plant_shoot	green	Vallisneria_americana	1	5	27September1996	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	57.3	1.4	NA	NA	dm	NA	NA	NA	NA	NA	NA	4.033149171	NA	NA	NA	NA	NA	dm	NuthatchHollowPond_BroomeCo_NY_USA	850	42.08055556_-75.98611111	5	n	y	n	n	NA	digestion	NA	NA	review1: changed range temperature (9-15) to average (12). The flap may be an issue for mesh size data.
Titus	Decomposition of litter from submersed macrophytes: the indirect effects of high [CO2]	2002	Freshwater Biology	10.1046/J.1365-2427.2002.00869.X	lake	NA	NA	NA	litter_bag	1.3	field	NA	NA	NA	plant_shoot	green	Vallisneria_americana	1	16	27September1996	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.8	1.4	NA	NA	dm	NA	NA	NA	NA	NA	NA	4.436464088	NA	NA	NA	NA	NA	dm	NuthatchHollowPond_BroomeCo_NY_USA	850	42.08055556_-75.98611111	5	n	y	n	n	NA	digestion	NA	NA	
Titus	Decomposition of litter from submersed macrophytes: the indirect effects of high [CO2]	2002	Freshwater Biology	10.1046/J.1365-2427.2002.00869.X	lake	NA	NA	NA	litter_bag	1.3	field	NA	NA	NA	plant_shoot	green	Vallisneria_americana	1	30	27September1996	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.1	1.4	NA	NA	dm	NA	NA	NA	NA	NA	NA	1.607734807	NA	NA	NA	NA	NA	dm	NuthatchHollowPond_BroomeCo_NY_USA	850	42.08055556_-75.98611111	5	n	y	n	n	NA	digestion	NA	NA	
Titus	Decomposition of litter from submersed macrophytes: the indirect effects of high [CO2]	2002	Freshwater Biology	10.1046/J.1365-2427.2002.00869.X	lake	NA	NA	NA	litter_bag	1.3	field	NA	NA	NA	plant_shoot	green	Vallisneria_americana	1	38	27September1996	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.7	1.4	NA	NA	dm	NA	NA	NA	NA	NA	NA	1.524861878	NA	NA	NA	NA	NA	dm	NuthatchHollowPond_BroomeCo_NY_USA	850	42.08055556_-75.98611111	5	n	y	n	n	NA	digestion	NA	NA	
Titus	Decomposition of litter from submersed macrophytes: the indirect effects of high [CO2]	2002	Freshwater Biology	10.1046/J.1365-2427.2002.00869.X	lake	NA	NA	NA	litter_bag	1.3	field	detritus grown in 10x ambient CO2	NA	NA	plant_shoot	green	Vallisneria_americana	2	0	27September1996	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	2.5	NA	NA	dm	NA	NA	NA	NA	NA	NA	1.011049724	NA	NA	NA	NA	NA	dm	NuthatchHollowPond_BroomeCo_NY_USA	850	42.08055556_-75.98611111	5	n	y	n	n	NA	digestion	NA	NA	
Titus	Decomposition of litter from submersed macrophytes: the indirect effects of high [CO2]	2002	Freshwater Biology	10.1046/J.1365-2427.2002.00869.X	lake	NA	NA	NA	litter_bag	1.3	field	detritus grown in 10x ambient CO2	NA	NA	plant_shoot	green	Vallisneria_americana	2	5	27September1996	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	61.5	2.5	NA	NA	dm	NA	NA	NA	NA	NA	NA	1.635359116	NA	NA	NA	NA	NA	dm	NuthatchHollowPond_BroomeCo_NY_USA	850	42.08055556_-75.98611111	5	n	y	n	n	NA	digestion	NA	NA	
Titus	Decomposition of litter from submersed macrophytes: the indirect effects of high [CO2]	2002	Freshwater Biology	10.1046/J.1365-2427.2002.00869.X	lake	NA	NA	NA	litter_bag	1.3	field	detritus grown in 10x ambient CO2	NA	NA	plant_shoot	green	Vallisneria_americana	2	16	27September1996	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	39.7	2.5	NA	NA	dm	NA	NA	NA	NA	NA	NA	2.314917127	NA	NA	NA	NA	NA	dm	NuthatchHollowPond_BroomeCo_NY_USA	850	42.08055556_-75.98611111	5	n	y	n	n	NA	digestion	NA	NA	
Titus	Decomposition of litter from submersed macrophytes: the indirect effects of high [CO2]	2002	Freshwater Biology	10.1046/J.1365-2427.2002.00869.X	lake	NA	NA	NA	litter_bag	1.3	field	detritus grown in 10x ambient CO2	NA	NA	plant_shoot	green	Vallisneria_americana	2	30	27September1996	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	2.5	NA	NA	dm	NA	NA	NA	NA	NA	NA	1.309392265	NA	NA	NA	NA	NA	dm	NuthatchHollowPond_BroomeCo_NY_USA	850	42.08055556_-75.98611111	5	n	y	n	n	NA	digestion	NA	NA	
Titus	Decomposition of litter from submersed macrophytes: the indirect effects of high [CO2]	2002	Freshwater Biology	10.1046/J.1365-2427.2002.00869.X	lake	NA	NA	NA	litter_bag	1.3	field	detritus grown in 10x ambient CO2	NA	NA	plant_shoot	green	Vallisneria_americana	2	38	27September1996	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.9	2.5	NA	NA	dm	NA	NA	NA	NA	NA	NA	1.502762431	NA	NA	NA	NA	NA	dm	NuthatchHollowPond_BroomeCo_NY_USA	850	42.08055556_-75.98611111	5	n	y	n	n	NA	digestion	NA	NA	
