First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	C_method	N_method	P_method	Ratio_Type	Notes
Vargo	"Emergent plant decomposition and sedimentation: responses to sediments varying in texture, phosphorus content and frequency of deposition"	1998	Environmental and Experimental Botany	10.1016/S0098-8472(98)00020-3	wetland	NA	NA	NA	litter_bag	10	outdoor_mesocosm	NA	NA	NA	plant_shoot	senesced	Typha_latifolia	1	0	11May1994	NA	NA	NA	NA	470	NA	70	320	390	NA	100	1.75	NA	NA	dm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	dm	SouthLake_WashtenawCoMI_USA	309.1	42.396888_-84.065646	6	n	n	n	n	NA	digestion	acid_digest	molar	only using the unmanipulated data; the water chem data was difficult to extract so used average; k could be calculated from reported %DM values but left NA as per SOP; data very difficult to extract from graphs; estimated latlong
Vargo	"Emergent plant decomposition and sedimentation: responses to sediments varying in texture, phosphorus content and frequency of deposition"	1998	Environmental and Experimental Botany	10.1016/S0098-8472(98)00020-3	wetland	NA	NA	NA	litter_bag	10	outdoor_mesocosm	NA	NA	NA	plant_shoot	senesced	Typha_latifolia	1	6	11May1994	NA	NA	NA	NA	470	NA	70	320	390	NA	92.77	1.75	NA	NA	dm	NA	NA	NA	NA	NA	NA	NA	0.166	NA	NA	NA	NA	dm	SouthLake_WashtenawCoMI_USA	309.1	42.396888_-84.065646	6	n	n	n	n	NA	digestion	acid_digest	molar	"review1: corrected minor issue in the starting date. Remaining mass data was wrong for time serie 2 and 3 (the y-axis on the plot starts at 50%, not 0). I re-extracted the data. Initial mass changed from range (1,5-2,5) to average (2,0). Calculated molar N/P ratios. Manipulation: changed ""none"" to NA"
Vargo	"Emergent plant decomposition and sedimentation: responses to sediments varying in texture, phosphorus content and frequency of deposition"	1998	Environmental and Experimental Botany	10.1016/S0098-8472(98)00020-3	wetland	NA	NA	NA	litter_bag	10	outdoor_mesocosm	NA	NA	NA	plant_shoot	senesced	Typha_latifolia	1	10	11May1994	NA	NA	NA	NA	470	NA	70	320	390	NA	83.69	1.75	NA	NA	dm	NA	NA	NA	NA	NA	NA	1.362	NA	NA	NA	NA	NA	dm	SouthLake_WashtenawCoMI_USA	309.1	42.396888_-84.065646	6	n	n	n	n	NA	digestion	acid_digest	molar	
Vargo	"Emergent plant decomposition and sedimentation: responses to sediments varying in texture, phosphorus content and frequency of deposition"	1998	Environmental and Experimental Botany	10.1016/S0098-8472(98)00020-3	wetland	NA	NA	NA	litter_bag	10	outdoor_mesocosm	NA	NA	NA	plant_shoot	senesced	Typha_latifolia	1	17	11May1994	NA	NA	NA	NA	470	NA	70	320	390	NA	82.13	1.75	NA	NA	dm	NA	NA	NA	NA	NA	NA	1.108	NA	NA	NA	NA	NA	dm	SouthLake_WashtenawCoMI_USA	309.1	42.396888_-84.065646	6	n	n	n	n	NA	digestion	acid_digest	molar	
Vargo	"Emergent plant decomposition and sedimentation: responses to sediments varying in texture, phosphorus content and frequency of deposition"	1998	Environmental and Experimental Botany	10.1016/S0098-8472(98)00020-3	wetland	NA	NA	NA	litter_bag	10	outdoor_mesocosm	NA	NA	NA	plant_shoot	senesced	Typha_latifolia	1	36	11May1994	NA	NA	NA	NA	470	NA	70	320	390	NA	77.45	1.75	NA	NA	dm	NA	NA	NA	NA	NA	NA	1.255	0.127	NA	NA	21.84454861	NA	dm	SouthLake_WashtenawCoMI_USA	309.1	42.396888_-84.065646	6	n	n	n	n	NA	digestion	acid_digest	molar	
Vargo	"Emergent plant decomposition and sedimentation: responses to sediments varying in texture, phosphorus content and frequency of deposition"	1998	Environmental and Experimental Botany	10.1016/S0098-8472(98)00020-3	wetland	NA	NA	NA	litter_bag	10	outdoor_mesocosm	NA	NA	NA	plant_shoot	senesced	Typha_latifolia	1	64	11May1994	NA	NA	NA	NA	470	NA	70	320	390	NA	68.79	1.75	NA	NA	dm	NA	NA	NA	NA	NA	NA	1.124	0.142	NA	NA	17.49770285	NA	dm	SouthLake_WashtenawCoMI_USA	309.1	42.396888_-84.065646	6	n	n	n	n	NA	digestion	acid_digest	molar	
Vargo	"Emergent plant decomposition and sedimentation: responses to sediments varying in texture, phosphorus content and frequency of deposition"	1998	Environmental and Experimental Botany	10.1016/S0098-8472(98)00020-3	wetland	NA	NA	NA	litter_bag	10	outdoor_mesocosm	NA	NA	NA	plant_shoot	senesced	Typha_latifolia	1	95	11May1994	NA	NA	NA	NA	470	NA	70	320	390	NA	60.57	1.75	NA	NA	dm	NA	NA	NA	NA	NA	NA	1.529	0.09	NA	NA	37.55502419	NA	dm	SouthLake_WashtenawCoMI_USA	309.1	42.396888_-84.065646	6	n	n	n	n	NA	digestion	acid_digest	molar	
Vargo	"Emergent plant decomposition and sedimentation: responses to sediments varying in texture, phosphorus content and frequency of deposition"	1998	Environmental and Experimental Botany	10.1016/S0098-8472(98)00020-3	wetland	NA	NA	NA	litter_bag	10	outdoor_mesocosm	NA	NA	NA	plant_shoot	senesced	Typha_latifolia	1	126	11May1994	NA	NA	NA	NA	470	NA	70	320	390	NA	53.76	1.75	NA	NA	dm	NA	NA	NA	NA	NA	NA	1.572	0.11	NA	NA	31.59096749	NA	dm	SouthLake_WashtenawCoMI_USA	309.1	42.396888_-84.065646	6	n	n	n	n	NA	digestion	acid_digest	molar	
Vargo	"Emergent plant decomposition and sedimentation: responses to sediments varying in texture, phosphorus content and frequency of deposition"	1998	Environmental and Experimental Botany	10.1016/S0098-8472(98)00020-3	wetland	NA	NA	NA	litter_bag	10	outdoor_mesocosm	NA	NA	NA	plant_shoot	senesced	Typha_latifolia	1	158	11May1994	NA	NA	NA	NA	470	NA	70	320	390	NA	42.7	1.75	NA	NA	dm	NA	NA	NA	NA	NA	NA	1.684	0.138	NA	NA	26.9752868	NA	dm	SouthLake_WashtenawCoMI_USA	309.1	42.396888_-84.065646	6	n	n	n	n	NA	digestion	acid_digest	molar	
Vargo	"Emergent plant decomposition and sedimentation: responses to sediments varying in texture, phosphorus content and frequency of deposition"	1998	Environmental and Experimental Botany	10.1016/S0098-8472(98)00020-3	wetland	NA	NA	NA	litter_bag	10	outdoor_mesocosm	NA	NA	NA	plant_shoot	senesced	Typha_latifolia	1	340	11May1994	NA	NA	NA	NA	470	NA	70	320	390	NA	49.93	1.75	NA	NA	dm	NA	NA	NA	NA	NA	NA	1.581	0.112	NA	NA	31.20447767	NA	dm	SouthLake_WashtenawCoMI_USA	309.1	42.396888_-84.065646	6	n	n	n	n	NA	digestion	acid_digest	molar	
Vargo	"Emergent plant decomposition and sedimentation: responses to sediments varying in texture, phosphorus content and frequency of deposition"	1998	Environmental and Experimental Botany	10.1016/S0098-8472(98)00020-3	wetland	NA	NA	NA	litter_bag	10	outdoor_mesocosm	NA	NA	NA	plant_shoot	senesced	Typha_latifolia	1	470	11May1994	NA	NA	NA	NA	470	NA	70	320	390	NA	30.21	1.75	NA	NA	dm	NA	NA	NA	NA	NA	NA	1.706	0.117	NA	NA	32.23266653	NA	dm	SouthLake_WashtenawCoMI_USA	309.1	42.396888_-84.065646	6	n	n	n	n	NA	digestion	acid_digest	molar	
Vargo	"Emergent plant decomposition and sedimentation: responses to sediments varying in texture, phosphorus content and frequency of deposition"	1998	Environmental and Experimental Botany	10.1016/S0098-8472(98)00020-3	wetland	NA	NA	NA	litter_bag	15	outdoor_mesocosm	NA	NA	NA	plant_shoot	senesced	Typha_angustifolia	2	0	11May1994	NA	NA	NA	NA	172	NA	83.9	55.9	139.9	NA	100	2	NA	NA	dm	NA	NA	NA	NA	NA	NA	1.7696	0.0799	NA	NA	48.95887168	NA	dm	IndependenceLake_WashtenawCoMI_USA	281	42.40833_-83.80833	6	n	n	n	n	NA	digestion	acid_digest	molar	
Vargo	"Emergent plant decomposition and sedimentation: responses to sediments varying in texture, phosphorus content and frequency of deposition"	1998	Environmental and Experimental Botany	10.1016/S0098-8472(98)00020-3	wetland	NA	NA	NA	litter_bag	15	outdoor_mesocosm	NA	NA	NA	plant_shoot	senesced	Typha_angustifolia	2	14	11May1994	NA	NA	NA	NA	172	NA	83.9	55.9	139.9	NA	84.5	2	NA	NA	dm	NA	NA	NA	NA	NA	NA	1.0238	0.0391	NA	NA	57.88172131	NA	dm	IndependenceLake_WashtenawCoMI_USA	281	42.40833_-83.80833	6	n	n	n	n	NA	digestion	acid_digest	molar	
Vargo	"Emergent plant decomposition and sedimentation: responses to sediments varying in texture, phosphorus content and frequency of deposition"	1998	Environmental and Experimental Botany	10.1016/S0098-8472(98)00020-3	wetland	NA	NA	NA	litter_bag	15	outdoor_mesocosm	NA	NA	NA	plant_shoot	senesced	Typha_angustifolia	2	24	11May1994	NA	NA	NA	NA	172	NA	83.9	55.9	139.9	NA	81	2	NA	NA	dm	NA	NA	NA	NA	NA	NA	1.1354	0.0507	NA	NA	49.50442274	NA	dm	IndependenceLake_WashtenawCoMI_USA	281	42.40833_-83.80833	6	n	n	n	n	NA	digestion	acid_digest	molar	
Vargo	"Emergent plant decomposition and sedimentation: responses to sediments varying in texture, phosphorus content and frequency of deposition"	1998	Environmental and Experimental Botany	10.1016/S0098-8472(98)00020-3	wetland	NA	NA	NA	litter_bag	15	outdoor_mesocosm	NA	NA	NA	plant_shoot	senesced	Typha_angustifolia	2	37	11May1994	NA	NA	NA	NA	172	NA	83.9	55.9	139.9	NA	77.5	2	NA	NA	dm	NA	NA	NA	NA	NA	NA	0.9549	0.0601	NA	NA	35.12258655	NA	dm	IndependenceLake_WashtenawCoMI_USA	281	42.40833_-83.80833	6	n	n	n	n	NA	digestion	acid_digest	molar	
Vargo	"Emergent plant decomposition and sedimentation: responses to sediments varying in texture, phosphorus content and frequency of deposition"	1998	Environmental and Experimental Botany	10.1016/S0098-8472(98)00020-3	wetland	NA	NA	NA	litter_bag	15	outdoor_mesocosm	NA	NA	NA	plant_shoot	senesced	Typha_angustifolia	2	56	11May1994	NA	NA	NA	NA	172	NA	83.9	55.9	139.9	NA	71.2	2	NA	NA	dm	NA	NA	NA	NA	NA	NA	0.8052	0.1206	NA	NA	14.75908821	NA	dm	IndependenceLake_WashtenawCoMI_USA	281	42.40833_-83.80833	6	n	n	n	n	NA	digestion	acid_digest	molar	
Vargo	"Emergent plant decomposition and sedimentation: responses to sediments varying in texture, phosphorus content and frequency of deposition"	1998	Environmental and Experimental Botany	10.1016/S0098-8472(98)00020-3	wetland	NA	NA	NA	litter_bag	15	outdoor_mesocosm	NA	NA	NA	plant_shoot	senesced	Typha_angustifolia	2	70	11May1994	NA	NA	NA	NA	172	NA	83.9	55.9	139.9	NA	63.6	2	NA	NA	dm	NA	NA	NA	NA	NA	NA	1.247	0.0801	NA	NA	34.41414684	NA	dm	IndependenceLake_WashtenawCoMI_USA	281	42.40833_-83.80833	6	n	n	n	n	NA	digestion	acid_digest	molar	
Vargo	"Emergent plant decomposition and sedimentation: responses to sediments varying in texture, phosphorus content and frequency of deposition"	1998	Environmental and Experimental Botany	10.1016/S0098-8472(98)00020-3	wetland	NA	NA	NA	litter_bag	15	outdoor_mesocosm	NA	NA	NA	plant_shoot	senesced	Typha_angustifolia	2	98	11May1994	NA	NA	NA	NA	172	NA	83.9	55.9	139.9	NA	64.6	2	NA	NA	dm	NA	NA	NA	NA	NA	NA	1.0119	0.1103	NA	NA	20.27986938	NA	dm	IndependenceLake_WashtenawCoMI_USA	281	42.40833_-83.80833	6	n	n	n	n	NA	digestion	acid_digest	molar	
