First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	Ratio_Type	C_Method	N_Method	P_Method	Notes
Wang	Phosphorus release during decomposition of the submerged macrophyte Potamogeton crispus	2018	Limnology	10.1007/s10201-018-0538-2	NA	NA	NA	NA	beaker	NA	lab	deionized water	NA	NA	plant_shoot	green	Potamogeton_crispus	1	0	May	23.95	NA	NA	NA	0	0	NA	NA	NA	NA	100	NA	NA	0.05	dm	NA	NA	NA	NA	NA	44.09015715	2.509723647	0.390486258	20.47829047	291.1615952	2.8866279	NA	NA	Lake Yimeng in Linyi in China	NA	35.083333_118.316667	3	n	n	n	n	molar	NA	NA	NA	"Data reported also for dissolved total phosphorous (DTP), particulate phosphorous (PP) and dissolved organic phosphorous (DOP); TP and SRP concentrations are corrected by evaporation loss; before starting the experiment (day 1) plants were incubated with lake water <24h (no mass reported); Initial_Mass_g=100g fresh weight (not reported in DW); Fig. 8 axis for C:P and N:P are the same. I think for C:P are wrong, so I not use these values; Geog_Locale and lat_long for macrophytes sampling site; Authors should have pH for each sampling points, but not reported. They say ""The pH gradually decreased from neutral (7.10 ± 0.35) at the beginning of the experiment to slightly acidic values (6.10 ± 0.31) at the end"""
Wang	Phosphorus release during decomposition of the submerged macrophyte Potamogeton crispus	2018	Limnology	10.1007/s10201-018-0538-2	NA	NA	NA	NA	beaker	NA	lab	deionized water	NA	NA	plant_shoot	green	Potamogeton_crispus	1	1	May	24.95	NA	NA	NA	319.8594025	393.6731107	NA	NA	NA	NA	96.13259669	NA	NA	0.05	dm	NA	NA	NA	NA	NA	44.02122967	2.504410204	0.39136716	20.54945183	290.0520818	2.869690074	NA	NA	Lake Yimeng in Linyi in China	NA	35.083333_118.316667	3	n	n	n	n	molar	NA	NA	NA	"Data reported also for dissolved total phosphorous (DTP), particulate phosphorous (PP) and dissolved organic phosphorous (DOP); TP and SRP concentrations are corrected by evaporation loss; before starting the experiment (day 1) plants were incubated with lake water <24h (no mass reported); Initial_Mass_g=100g fresh weight (not reported in DW); Fig. 8 axis for C:P and N:P are the same. I think for C:P are wrong, so I not use these values; Geog_Locale and lat_long for macrophytes sampling site; Authors should have pH for each sampling points, but not reported. They say ""The pH gradually decreased from neutral (7.10 ± 0.35) at the beginning of the experiment to slightly acidic values (6.10 ± 0.31) at the end"""
Wang	Phosphorus release during decomposition of the submerged macrophyte Potamogeton crispus	2018	Limnology	10.1007/s10201-018-0538-2	NA	NA	NA	NA	beaker	NA	lab	deionized water	NA	NA	plant_shoot	green	Potamogeton_crispus	1	2	May	25.07	NA	NA	NA	590.5096661	898.0667838	NA	NA	NA	NA	91.89686924	NA	NA	0.05	dm	NA	NA	NA	NA	NA	44.05569341	2.468931071	0.389605356	20.93150253	291.5918093	2.811234877	NA	NA	Lake Yimeng in Linyi in China	NA	35.083333_118.316667	3	n	n	n	n	molar	NA	NA	NA	"Data reported also for dissolved total phosphorous (DTP), particulate phosphorous (PP) and dissolved organic phosphorous (DOP); TP and SRP concentrations are corrected by evaporation loss; before starting the experiment (day 1) plants were incubated with lake water <24h (no mass reported); Initial_Mass_g=100g fresh weight (not reported in DW); Fig. 8 axis for C:P and N:P are the same. I think for C:P are wrong, so I not use these values; Geog_Locale and lat_long for macrophytes sampling site; Authors should have pH for each sampling points, but not reported. They say ""The pH gradually decreased from neutral (7.10 ± 0.35) at the beginning of the experiment to slightly acidic values (6.10 ± 0.31) at the end"""
Wang	Phosphorus release during decomposition of the submerged macrophyte Potamogeton crispus	2018	Limnology	10.1007/s10201-018-0538-2	NA	NA	NA	NA	beaker	NA	lab	deionized water	NA	NA	plant_shoot	green	Potamogeton_crispus	1	3	May	24.88	NA	NA	NA	652.0210896	1168.717047	NA	NA	NA	NA	89.50276243	NA	NA	0.05	dm	NA	NA	NA	NA	NA	43.88337469	2.403315988	0.389605356	21.3803238	290.4512819	2.744476207	NA	NA	Lake Yimeng in Linyi in China	NA	35.083333_118.316667	3	n	n	n	n	molar	NA	NA	NA	"Data reported also for dissolved total phosphorous (DTP), particulate phosphorous (PP) and dissolved organic phosphorous (DOP); TP and SRP concentrations are corrected by evaporation loss; before starting the experiment (day 1) plants were incubated with lake water <24h (no mass reported); Initial_Mass_g=100g fresh weight (not reported in DW); Fig. 8 axis for C:P and N:P are the same. I think for C:P are wrong, so I not use these values; Geog_Locale and lat_long for macrophytes sampling site; Authors should have pH for each sampling points, but not reported. They say ""The pH gradually decreased from neutral (7.10 ± 0.35) at the beginning of the experiment to slightly acidic values (6.10 ± 0.31) at the end"""
Wang	Phosphorus release during decomposition of the submerged macrophyte Potamogeton crispus	2018	Limnology	10.1007/s10201-018-0538-2	NA	NA	NA	NA	beaker	NA	lab	deionized water	NA	NA	plant_shoot	green	Potamogeton_crispus	1	4	May	26	NA	NA	NA	1033.391916	1660.808436	NA	NA	NA	NA	85.08287293	NA	NA	0.05	dm	NA	NA	NA	NA	NA	43.8144472	2.262291638	0.390486258	22.71724893	289.340868	2.569772374	NA	NA	Lake Yimeng in Linyi in China	NA	35.083333_118.316667	3	n	n	n	n	molar	NA	NA	NA	"Data reported also for dissolved total phosphorous (DTP), particulate phosphorous (PP) and dissolved organic phosphorous (DOP); TP and SRP concentrations are corrected by evaporation loss; before starting the experiment (day 1) plants were incubated with lake water <24h (no mass reported); Initial_Mass_g=100g fresh weight (not reported in DW); Fig. 8 axis for C:P and N:P are the same. I think for C:P are wrong, so I not use these values; Geog_Locale and lat_long for macrophytes sampling site; Authors should have pH for each sampling points, but not reported. They say ""The pH gradually decreased from neutral (7.10 ± 0.35) at the beginning of the experiment to slightly acidic values (6.10 ± 0.31) at the end"""
Wang	Phosphorus release during decomposition of the submerged macrophyte Potamogeton crispus	2018	Limnology	10.1007/s10201-018-0538-2	NA	NA	NA	NA	beaker	NA	lab	deionized water	NA	NA	plant_shoot	green	Potamogeton_crispus	1	5	May	25.01	NA	NA	NA	1193.321617	1992.970123	NA	NA	NA	NA	81.58379374	NA	NA	0.05	dm	NA	NA	NA	NA	NA	43.84891095	2.201682692	0.39136716	23.25489572	288.9166887	2.494710229	NA	NA	Lake Yimeng in Linyi in China	NA	35.083333_118.316667	3	n	n	n	n	molar	NA	NA	NA	"Data reported also for dissolved total phosphorous (DTP), particulate phosphorous (PP) and dissolved organic phosphorous (DOP); TP and SRP concentrations are corrected by evaporation loss; before starting the experiment (day 1) plants were incubated with lake water <24h (no mass reported); Initial_Mass_g=100g fresh weight (not reported in DW); Fig. 8 axis for C:P and N:P are the same. I think for C:P are wrong, so I not use these values; Geog_Locale and lat_long for macrophytes sampling site; Authors should have pH for each sampling points, but not reported. They say ""The pH gradually decreased from neutral (7.10 ± 0.35) at the beginning of the experiment to slightly acidic values (6.10 ± 0.31) at the end"""
Wang	Phosphorus release during decomposition of the submerged macrophyte Potamogeton crispus	2018	Limnology	10.1007/s10201-018-0538-2	NA	NA	NA	NA	beaker	NA	lab	deionized water	NA	NA	plant_shoot	green	Potamogeton_crispus	1	6	May	24.88	NA	NA	NA	1574.692443	2694.200351	NA	NA	NA	NA	74.95395948	NA	NA	0.05	dm	NA	NA	NA	NA	NA	43.8144472	2.100875957	0.392248062	24.32534427	288.0412773	2.386434189	NA	NA	Lake Yimeng in Linyi in China	NA	35.083333_118.316667	3	n	n	n	n	molar	NA	NA	NA	"Data reported also for dissolved total phosphorous (DTP), particulate phosphorous (PP) and dissolved organic phosphorous (DOP); TP and SRP concentrations are corrected by evaporation loss; before starting the experiment (day 1) plants were incubated with lake water <24h (no mass reported); Initial_Mass_g=100g fresh weight (not reported in DW); Fig. 8 axis for C:P and N:P are the same. I think for C:P are wrong, so I not use these values; Geog_Locale and lat_long for macrophytes sampling site; Authors should have pH for each sampling points, but not reported. They say ""The pH gradually decreased from neutral (7.10 ± 0.35) at the beginning of the experiment to slightly acidic values (6.10 ± 0.31) at the end"""
Wang	Phosphorus release during decomposition of the submerged macrophyte Potamogeton crispus	2018	Limnology	10.1007/s10201-018-0538-2	NA	NA	NA	NA	beaker	NA	lab	deionized water	NA	NA	plant_shoot	green	Potamogeton_crispus	1	7	May	24.14	NA	NA	NA	2460.456942	3346.221441	NA	NA	NA	NA	69.98158379	NA	NA	0.05	dm	NA	NA	NA	NA	NA	43.95230218	2.150848103	0.39136716	23.88591025	289.5979246	2.452531102	NA	NA	Lake Yimeng in Linyi in China	NA	35.083333_118.316667	3	n	n	n	n	molar	NA	NA	NA	"Data reported also for dissolved total phosphorous (DTP), particulate phosphorous (PP) and dissolved organic phosphorous (DOP); TP and SRP concentrations are corrected by evaporation loss; before starting the experiment (day 1) plants were incubated with lake water <24h (no mass reported); Initial_Mass_g=100g fresh weight (not reported in DW); Fig. 8 axis for C:P and N:P are the same. I think for C:P are wrong, so I not use these values; Geog_Locale and lat_long for macrophytes sampling site; Authors should have pH for each sampling points, but not reported. They say ""The pH gradually decreased from neutral (7.10 ± 0.35) at the beginning of the experiment to slightly acidic values (6.10 ± 0.31) at the end"""
Wang	Phosphorus release during decomposition of the submerged macrophyte Potamogeton crispus	2018	Limnology	10.1007/s10201-018-0538-2	NA	NA	NA	NA	beaker	NA	lab	deionized water	NA	NA	plant_shoot	green	Potamogeton_crispus	1	8	May	25.01	NA	NA	NA	3235.500879	4207.381371	NA	NA	NA	NA	62.0626151	NA	NA	0.05	dm	NA	NA	NA	NA	NA	44.09015715	2.110343007	0.389605356	24.48987337	291.8199148	2.402363624	NA	NA	Lake Yimeng in Linyi in China	NA	35.083333_118.316667	3	n	n	n	n	molar	NA	NA	NA	"Data reported also for dissolved total phosphorous (DTP), particulate phosphorous (PP) and dissolved organic phosphorous (DOP); TP and SRP concentrations are corrected by evaporation loss; before starting the experiment (day 1) plants were incubated with lake water <24h (no mass reported); Initial_Mass_g=100g fresh weight (not reported in DW); Fig. 8 axis for C:P and N:P are the same. I think for C:P are wrong, so I not use these values; Geog_Locale and lat_long for macrophytes sampling site; Authors should have pH for each sampling points, but not reported. They say ""The pH gradually decreased from neutral (7.10 ± 0.35) at the beginning of the experiment to slightly acidic values (6.10 ± 0.31) at the end"""
Wang	Phosphorus release during decomposition of the submerged macrophyte Potamogeton crispus	2018	Limnology	10.1007/s10201-018-0538-2	NA	NA	NA	NA	beaker	NA	lab	deionized water	NA	NA	plant_shoot	green	Potamogeton_crispus	1	9	May	26.06	NA	NA	NA	4121.265378	5572.934974	NA	NA	NA	NA	50.09208103	NA	NA	0.05	dm	NA	NA	NA	NA	NA	43.88337469	2.225652668	0.39136716	22.96232664	289.1437673	2.543176047	NA	NA	Lake Yimeng in Linyi in China	NA	35.083333_118.316667	3	n	n	n	n	molar	NA	NA	NA	"Data reported also for dissolved total phosphorous (DTP), particulate phosphorous (PP) and dissolved organic phosphorous (DOP); TP and SRP concentrations are corrected by evaporation loss; before starting the experiment (day 1) plants were incubated with lake water <24h (no mass reported); Initial_Mass_g=100g fresh weight (not reported in DW); Fig. 8 axis for C:P and N:P are the same. I think for C:P are wrong, so I not use these values; Geog_Locale and lat_long for macrophytes sampling site; Authors should have pH for each sampling points, but not reported. They say ""The pH gradually decreased from neutral (7.10 ± 0.35) at the beginning of the experiment to slightly acidic values (6.10 ± 0.31) at the end"""
