First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	C_method	N_method	P_method	Ratio_Type	Notes
Xie	Effects of nitrogen and phosphorus availability on the decomposition of aquatic plants	2004	Aquatic Botany	10.1016/j.aquabot.2004.07.002	NA	NA	NA	NA	litter_bag	1	lab	"low N, low P"	NA	shaded	leaves	green	Eichhornia_crassipes 	1	0	3June2002	27	7	NA	NA	99	NA	250	250	500	NA	100	1	NA	0.047	dm	NA	NA	22.4	NA	NA	43.2	5.01	0.38	10.1	293.2	29.1	NA	dm	"Donghu Lake inWuhan City, Hubei"	NA	30.550000_114.350000		n	n	n	n	K2Cr2O7 digestion with colorimetry	H2SO4-H2O2 digestion with colorimetry	H2SO4-H2O2 digestion with colorimetry	molar	"E. crassipes was collected  as dead green leaves when leaved died due to frost  (I called detritus condition: ""green""); V. natans  were collected as dead green leaves in Augsut (I called detritus condition: ""senesced"") and P. maackianus were colected live green leaves in october (I called detritus condition: ""green"") Leaf litter that was dried at 85 ºC for 48 h before experiment; Soluble sugar % initial values are reported; Incubations at the dark house at the Laboratory of Aquatic Plants I stated light_category=""shaded"", the quality of the figures is not very good and it's difficult to extract data, the concentrations of P and N are from the medium formula preparated in the lab (that were new every week), however I'm not sure if ammonium and ntirate concentrations are correct because they differ from a previous experiment (Xie, 2004_hydrobiologia) and seems a similar setting. I've found an issue with the initial litter chemistry litter: C:N and C:P calculated and extracted (weight) only matches for E. Crassipes! To do the calculations for %N, %P during the incubations I will use the initial %N and %P reported in the Table (and not the reported ratios!). k only reported in the text for some cases, I leave NA the ones is not reported (or reported as intervals since not difference found among nutrient treatments)"
Xie	Effects of nitrogen and phosphorus availability on the decomposition of aquatic plants	2004	Aquatic Botany	10.1016/j.aquabot.2004.07.002	NA	NA	NA	NA	litter_bag	1	lab	"low N, low P"	NA	shaded	leaves	green	Eichhornia_crassipes 	1	14	3June2002	27	7	NA	NA	99	NA	250	250	500	NA	56.24642199	1	NA	0.047	dm	NA	NA	NA	NA	NA	NA	3.171614192	0.146069364	NA	NA	48	NA	dm	"Donghu Lake inWuhan City, Hubei"	NA	30.550000_114.350000		n	n	n	n	K2Cr2O7 digestion with colorimetry	H2SO4-H2O2 digestion with colorimetry	H2SO4-H2O2 digestion with colorimetry	molar	
Xie	Effects of nitrogen and phosphorus availability on the decomposition of aquatic plants	2004	Aquatic Botany	10.1016/j.aquabot.2004.07.002	NA	NA	NA	NA	litter_bag	1	lab	"low N, low P"	NA	shaded	leaves	green	Eichhornia_crassipes 	1	28	3June2002	27	7	NA	NA	99	NA	250	250	500	NA	44.46248301	1	NA	0.047	dm	NA	NA	NA	NA	NA	NA	2.754437144	0.149364162	NA	NA	40.8	NA	dm	"Donghu Lake inWuhan City, Hubei"	NA	30.550000_114.350000		n	n	n	n	K2Cr2O7 digestion with colorimetry	H2SO4-H2O2 digestion with colorimetry	H2SO4-H2O2 digestion with colorimetry	molar	
Xie	Effects of nitrogen and phosphorus availability on the decomposition of aquatic plants	2004	Aquatic Botany	10.1016/j.aquabot.2004.07.002	NA	NA	NA	NA	litter_bag	1	lab	"low N, low P"	NA	shaded	leaves	green	Eichhornia_crassipes 	1	42	3June2002	27	7	NA	NA	99	NA	250	250	500	NA	20.27027611	1	NA	0.047	dm	NA	NA	NA	NA	NA	NA	1.693098628	0.10433526	NA	NA	35.9	NA	dm	"Donghu Lake inWuhan City, Hubei"	NA	30.550000_114.350000		n	n	n	n	K2Cr2O7 digestion with colorimetry	H2SO4-H2O2 digestion with colorimetry	H2SO4-H2O2 digestion with colorimetry	molar	
Xie	Effects of nitrogen and phosphorus availability on the decomposition of aquatic plants	2004	Aquatic Botany	10.1016/j.aquabot.2004.07.002	NA	NA	NA	NA	litter_bag	1	lab	"low N, low P"	NA	shaded	leaves	green	Eichhornia_crassipes 	1	56	3June2002	27	7	NA	NA	99	NA	250	250	500	NA	9.245145248	1	NA	0.047	dm	NA	NA	NA	NA	NA	NA	1.245313974	0.074682081	NA	NA	36.9	NA	dm	"Donghu Lake inWuhan City, Hubei"	NA	30.550000_114.350000		n	n	n	n	K2Cr2O7 digestion with colorimetry	H2SO4-H2O2 digestion with colorimetry	H2SO4-H2O2 digestion with colorimetry	molar	
Xie	Effects of nitrogen and phosphorus availability on the decomposition of aquatic plants	2004	Aquatic Botany	10.1016/j.aquabot.2004.07.002	NA	NA	NA	NA	litter_bag	1	lab	"low N, high P"	NA	shaded	leaves	green	Eichhornia_crassipes 	2	0	3June2002	27	7	NA	NA	991	NA	250	250	500	NA	100	1	NA	NA	dm	NA	NA	22.4	NA	NA	43.2	5.01	0.38	10.1	293.2	29.1	NA	dm	"Donghu Lake inWuhan City, Hubei"	NA	30.550000_114.350000		n	n	n	n	K2Cr2O7 digestion with colorimetry	H2SO4-H2O2 digestion with colorimetry	H2SO4-H2O2 digestion with colorimetry	molar	
Xie	Effects of nitrogen and phosphorus availability on the decomposition of aquatic plants	2004	Aquatic Botany	10.1016/j.aquabot.2004.07.002	NA	NA	NA	NA	litter_bag	1	lab	"low N, high P"	NA	shaded	leaves	green	Eichhornia_crassipes 	2	14	3June2002	27	7	NA	NA	991	NA	250	250	500	NA	52.95573313	1	NA	NA	dm	NA	NA	NA	NA	NA	NA	3.03872837	0.139479769	NA	NA	48.2	NA	dm	"Donghu Lake inWuhan City, Hubei"	NA	30.550000_114.350000		n	n	n	n	K2Cr2O7 digestion with colorimetry	H2SO4-H2O2 digestion with colorimetry	H2SO4-H2O2 digestion with colorimetry	molar	
Xie	Effects of nitrogen and phosphorus availability on the decomposition of aquatic plants	2004	Aquatic Botany	10.1016/j.aquabot.2004.07.002	NA	NA	NA	NA	litter_bag	1	lab	"low N, high P"	NA	shaded	leaves	green	Eichhornia_crassipes 	2	28	3June2002	27	7	NA	NA	991	NA	250	250	500	NA	39.65201762	1	NA	NA	dm	NA	NA	NA	NA	NA	NA	2.601069293	0.148265896	NA	NA	38.8	NA	dm	"Donghu Lake inWuhan City, Hubei"	NA	30.550000_114.350000		n	n	n	n	K2Cr2O7 digestion with colorimetry	H2SO4-H2O2 digestion with colorimetry	H2SO4-H2O2 digestion with colorimetry	molar	
Xie	Effects of nitrogen and phosphorus availability on the decomposition of aquatic plants	2004	Aquatic Botany	10.1016/j.aquabot.2004.07.002	NA	NA	NA	NA	litter_bag	1	lab	"low N, high P"	NA	shaded	leaves	green	Eichhornia_crassipes 	2	42	3June2002	27	7	NA	NA	991	NA	250	250	500	NA	11.65712891	1	NA	NA	dm	NA	NA	NA	NA	NA	NA	1.396587448	0.08566474	NA	NA	36	NA	dm	"Donghu Lake inWuhan City, Hubei"	NA	30.550000_114.350000		n	n	n	n	K2Cr2O7 digestion with colorimetry	H2SO4-H2O2 digestion with colorimetry	H2SO4-H2O2 digestion with colorimetry	molar	
Xie	Effects of nitrogen and phosphorus availability on the decomposition of aquatic plants	2004	Aquatic Botany	10.1016/j.aquabot.2004.07.002	NA	NA	NA	NA	litter_bag	1	lab	"low N, high P"	NA	shaded	leaves	green	Eichhornia_crassipes 	2	56	3June2002	27	7	NA	NA	991	NA	250	250	500	NA	2.155015047	1	NA	NA	dm	NA	NA	NA	NA	NA	NA	0.928304274	0.06150289	NA	NA	33.4	NA	dm	"Donghu Lake inWuhan City, Hubei"	NA	30.550000_114.350000		n	n	n	n	K2Cr2O7 digestion with colorimetry	H2SO4-H2O2 digestion with colorimetry	H2SO4-H2O2 digestion with colorimetry	molar	
