First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	C_method	N_method	P_method	Ratio_Type	Notes
Xie	Nutrient limitation to the decomposition of water hyacinth (Eichhornia crassipes)	2004	Hydrobiologia	10.1007/s10750-004-5494-7	NA	NA	NA	NA	litter_bag	1	lab	nutrient addition	NA	shaded	leaves	green	Eichhornia_crassipes	1	0	3June2002	27	NA	101	NA	500	500	1000	NA	100	1	NA	0.047	dm	NA	NA	22.43	NA	NA	43.18	5.014	0.379	10	293.8	29.2	NA	dm	Donghu Lake	NA	NA		n	n	n	n	K2Cr2O7 digestion	H2SO4-H2O2 digestion followed by colorimtery	H2SO4-H2O2 digestion followed by colorimtery	molar	"Plant dried at 85ºC  before experiment; About light, authors said ""All plastic basins were placed in a dark house at the Laboratory of Aquatic Plants"" I described the Light_Cathegory as ""shaded""; there are three types of detritus conditions: green leaves collected from a lake died due to frost (label used=""green""), leaves collected "
Xie	Nutrient limitation to the decomposition of water hyacinth (Eichhornia crassipes)	2004	Hydrobiologia	10.1007/s10750-004-5494-7	NA	NA	NA	NA	litter_bag	1	lab	nutrient addition	NA	shaded	leaves	green	Eichhornia_crassipes	1	14	3June2002	27	NA	101	NA	500	500	1000	NA	56.133829	1	NA	0.047	dm	NA	NA	22.43	NA	NA	NA	3.242	0.155	NA	NA	46.1	NA	dm	Donghu Lake	NA	NA		n	n	n	n	K2Cr2O7 digestion	H2SO4-H2O2 digestion followed by colorimtery	H2SO4-H2O2 digestion followed by colorimtery	molar	"the end of November, 2001, from plants grown at high P treatment in our another experiment both brown (label used=""""senesced"""") and green (label used=""""green""""); N and P concentrations calculated from the concentrations of salts added in the medium (replaced completly every week); qualitiy of the figures is not good and complicates data extraction; authors provide Soluble sugar % for litter at the beginning of the experiment"""
Xie	Nutrient limitation to the decomposition of water hyacinth (Eichhornia crassipes)	2004	Hydrobiologia	10.1007/s10750-004-5494-7	NA	NA	NA	NA	litter_bag	1	lab	nutrient addition	NA	shaded	leaves	green	Eichhornia_crassipes	1	28	3June2002	27	NA	101	NA	500	500	1000	NA	43.49442379	1	NA	0.047	dm	NA	NA	22.43	NA	NA	NA	2.739	0.146	NA	NA	41.4	NA	dm	Donghu Lake	NA	NA		n	n	n	n	K2Cr2O7 digestion	H2SO4-H2O2 digestion followed by colorimtery	H2SO4-H2O2 digestion followed by colorimtery	molar	
Xie	Nutrient limitation to the decomposition of water hyacinth (Eichhornia crassipes)	2004	Hydrobiologia	10.1007/s10750-004-5494-7	NA	NA	NA	NA	litter_bag	1	lab	nutrient addition	NA	shaded	leaves	green	Eichhornia_crassipes	1	42	3June2002	27	NA	101	NA	500	500	1000	NA	19.33085502	1	NA	0.047	dm	NA	NA	22.43	NA	NA	NA	1.659	0.104	NA	NA	35.3	NA	dm	Donghu Lake	NA	NA		n	n	n	n	K2Cr2O7 digestion	H2SO4-H2O2 digestion followed by colorimtery	H2SO4-H2O2 digestion followed by colorimtery	molar	
Xie	Nutrient limitation to the decomposition of water hyacinth (Eichhornia crassipes)	2004	Hydrobiologia	10.1007/s10750-004-5494-7	NA	NA	NA	NA	litter_bag	1	lab	nutrient addition	NA	shaded	leaves	green	Eichhornia_crassipes	1	56	3June2002	27	NA	101	NA	500	500	1000	NA	8.921933086	1	NA	0.047	dm	NA	NA	22.43	NA	NA	NA	1.269	0.077	NA	NA	36.6	NA	dm	Donghu Lake	NA	NA		n	n	n	n	K2Cr2O7 digestion	H2SO4-H2O2 digestion followed by colorimtery	H2SO4-H2O2 digestion followed by colorimtery	molar	
Xie	Nutrient limitation to the decomposition of water hyacinth (Eichhornia crassipes)	2004	Hydrobiologia	10.1007/s10750-004-5494-7	NA	NA	NA	NA	litter_bag	1	lab	nutrient addition	NA	shaded	leaves	green	Eichhornia_crassipes	2	0	3June2002	27	NA	999	NA	500	500	1000	NA	100	1	NA	0.079	dm	NA	NA	22.43	NA	NA	43.18	5.014	0.379	10	293.8	29.2	NA	dm	Donghu Lake	NA	NA		n	n	n	n	K2Cr2O7 digestion	H2SO4-H2O2 digestion followed by colorimtery	H2SO4-H2O2 digestion followed by colorimtery	molar	
Xie	Nutrient limitation to the decomposition of water hyacinth (Eichhornia crassipes)	2004	Hydrobiologia	10.1007/s10750-004-5494-7	NA	NA	NA	NA	litter_bag	1	lab	nutrient addition	NA	shaded	leaves	green	Eichhornia_crassipes	2	14	3June2002	27	NA	999	NA	500	500	1000	NA	52.41635688	1	NA	0.079	dm	NA	NA	22.43	NA	NA	NA	3.041	0.157	NA	NA	42.7	NA	dm	Donghu Lake	NA	NA		n	n	n	n	K2Cr2O7 digestion	H2SO4-H2O2 digestion followed by colorimtery	H2SO4-H2O2 digestion followed by colorimtery	molar	
Xie	Nutrient limitation to the decomposition of water hyacinth (Eichhornia crassipes)	2004	Hydrobiologia	10.1007/s10750-004-5494-7	NA	NA	NA	NA	litter_bag	1	lab	nutrient addition	NA	shaded	leaves	green	Eichhornia_crassipes	2	28	3June2002	27	NA	999	NA	500	500	1000	NA	39.40520446	1	NA	0.079	dm	NA	NA	22.43	NA	NA	NA	2.564	0.146	NA	NA	38.7	NA	dm	Donghu Lake	NA	NA		n	n	n	n	K2Cr2O7 digestion	H2SO4-H2O2 digestion followed by colorimtery	H2SO4-H2O2 digestion followed by colorimtery	molar	
Xie	Nutrient limitation to the decomposition of water hyacinth (Eichhornia crassipes)	2004	Hydrobiologia	10.1007/s10750-004-5494-7	NA	NA	NA	NA	litter_bag	1	lab	nutrient addition	NA	shaded	leaves	green	Eichhornia_crassipes	2	42	3June2002	27	NA	999	NA	500	500	1000	NA	11.89591078	1	NA	0.079	dm	NA	NA	22.43	NA	NA	NA	1.357	0.080	NA	NA	37.3	NA	dm	Donghu Lake	NA	NA		n	n	n	n	K2Cr2O7 digestion	H2SO4-H2O2 digestion followed by colorimtery	H2SO4-H2O2 digestion followed by colorimtery	molar	
Xie	Nutrient limitation to the decomposition of water hyacinth (Eichhornia crassipes)	2004	Hydrobiologia	10.1007/s10750-004-5494-7	NA	NA	NA	NA	litter_bag	1	lab	nutrient addition	NA	shaded	leaves	green	Eichhornia_crassipes	2	56	3June2002	27	NA	999	NA	500	500	1000	NA	1.858736059	1	NA	0.079	dm	NA	NA	22.43	NA	NA	NA	0.942	0.056	NA	NA	37.3	NA	dm	Donghu Lake	NA	NA		n	n	n	n	K2Cr2O7 digestion	H2SO4-H2O2 digestion followed by colorimtery	H2SO4-H2O2 digestion followed by colorimtery	molar	
