First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	C_method	N_method	P_method	Ratio_Type	Notes
Yanai	"Effects of salmon carcasses on experimental stream ecosystems in Hokkaido, Japan"	2005	Ecological Research	10.1007/s11284-005-0056-7	stream	NA	0.04	slow	litter_bag	10	outdoor_mesocosm	salmon carcass + invertebrates added	deciduous forest	NA	leaves	senesced	Acer_mono	1	0	October2002	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	3	NA	0.0104	dm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	dm	GokibiruBrook_Hokkaido_Japan	NA	43.492_141.423	5	n	y	n	n	ea	ea	NA	NA	DIN not reported so I added NO3 and NH4; assuming molar CN; lat/long are from paper but seem to be estimates; CN fluxes are contributions of salmon-derived nutrients to invertebrates
Yanai	"Effects of salmon carcasses on experimental stream ecosystems in Hokkaido, Japan"	2005	Ecological Research	10.1007/s11284-005-0056-7	stream	NA	0.04	slow	litter_bag	10	outdoor_mesocosm	salmon carcass + invertebrates added	deciduous forest	NA	leaves	senesced	Acer_mono	1	14	October2002	6	NA	NA	2.47	NA	NA	60	40	100	NA	80.5	3	NA	0.0104	dm	NA	NA	NA	NA	NA	NA	1.18	NA	40.07	NA	NA	NA	dm	GokibiruBrook_Hokkaido_Japan	NA	43.492_141.423	5	n	y	n	n	ea	ea	NA	NA	review1: changed range temperature (4-8) to average (6). Not convinced that ratios are molar. The units of NO3/NH4 (NO3 or N-NO3) are not clearly stated. Added the sample size data
Yanai	"Effects of salmon carcasses on experimental stream ecosystems in Hokkaido, Japan"	2005	Ecological Research	10.1007/s11284-005-0056-7	stream	NA	0.04	slow	litter_bag	10	outdoor_mesocosm	salmon carcass + invertebrates added	deciduous forest	NA	leaves	senesced	Acer_mono	1	27	October2002	6	NA	NA	2.36	NA	NA	1040	50	1090	NA	71.18	3	NA	0.0104	dm	NA	NA	NA	NA	NA	NA	1.4	NA	34.8	NA	NA	NA	dm	GokibiruBrook_Hokkaido_Japan	NA	43.492_141.423	5	n	y	n	n	ea	ea	NA	NA	
Yanai	"Effects of salmon carcasses on experimental stream ecosystems in Hokkaido, Japan"	2005	Ecological Research	10.1007/s11284-005-0056-7	stream	NA	0.04	slow	litter_bag	10	outdoor_mesocosm	salmon carcass + invertebrates added	deciduous forest	NA	leaves	senesced	Acer_mono	1	40	October2002	6	NA	NA	2.48	NA	NA	1210	60	1270	NA	71.43	3	NA	0.0104	dm	NA	NA	NA	NA	NA	NA	1.58	NA	27.38	NA	NA	NA	dm	GokibiruBrook_Hokkaido_Japan	NA	43.492_141.423	5	n	y	n	n	ea	ea	NA	NA	
Yanai	"Effects of salmon carcasses on experimental stream ecosystems in Hokkaido, Japan"	2005	Ecological Research	10.1007/s11284-005-0056-7	stream	NA	0.04	slow	litter_bag	10	outdoor_mesocosm	invertebrates added	deciduous forest	NA	leaves	senesced	Acer_mono	2	0	October2002	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	3	NA	0.0082	dm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	dm	GokibiruBrook_Hokkaido_Japan	NA	43.492_141.423	5	n	y	n	n	ea	ea	NA	NA	
Yanai	"Effects of salmon carcasses on experimental stream ecosystems in Hokkaido, Japan"	2005	Ecological Research	10.1007/s11284-005-0056-7	stream	NA	0.04	slow	litter_bag	10	outdoor_mesocosm	invertebrates added	deciduous forest	NA	leaves	senesced	Acer_mono	2	14	October2002	6	NA	NA	2.43	NA	NA	910	10	920	NA	84.27	3	NA	0.0082	dm	NA	NA	NA	NA	NA	NA	1.02	NA	45.77	NA	NA	NA	dm	GokibiruBrook_Hokkaido_Japan	NA	43.492_141.423	5	n	y	n	n	ea	ea	NA	NA	
Yanai	"Effects of salmon carcasses on experimental stream ecosystems in Hokkaido, Japan"	2005	Ecological Research	10.1007/s11284-005-0056-7	stream	NA	0.04	slow	litter_bag	10	outdoor_mesocosm	invertebrates added	deciduous forest	NA	leaves	senesced	Acer_mono	2	27	October2002	6	NA	NA	2.48	NA	NA	1390	10	1400	NA	78.05	3	NA	0.0082	dm	NA	NA	NA	NA	NA	NA	1.29	NA	36.52	NA	NA	NA	dm	GokibiruBrook_Hokkaido_Japan	NA	43.492_141.423	5	n	y	n	n	ea	ea	NA	NA	
Yanai	"Effects of salmon carcasses on experimental stream ecosystems in Hokkaido, Japan"	2005	Ecological Research	10.1007/s11284-005-0056-7	stream	NA	0.04	slow	litter_bag	10	outdoor_mesocosm	invertebrates added	deciduous forest	NA	leaves	senesced	Acer_mono	2	40	October2002	6	NA	NA	2.04	NA	NA	1600	10	1610	NA	75.27	3	NA	0.0082	dm	NA	NA	NA	NA	NA	NA	1.42	NA	33.03	NA	NA	NA	dm	GokibiruBrook_Hokkaido_Japan	NA	43.492_141.423	5	n	y	n	n	ea	ea	NA	NA	
Yanai	"Effects of salmon carcasses on experimental stream ecosystems in Hokkaido, Japan"	2005	Ecological Research	10.1007/s11284-005-0056-7	stream	NA	0.04	slow	litter_bag	10	outdoor_mesocosm	control	deciduous forest	NA	leaves	senesced	Acer_mono	3	0	October2002	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	3	NA	0.0064	dm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	dm	GokibiruBrook_Hokkaido_Japan	NA	43.492_141.423	5	n	y	n	n	ea	ea	NA	NA	
Yanai	"Effects of salmon carcasses on experimental stream ecosystems in Hokkaido, Japan"	2005	Ecological Research	10.1007/s11284-005-0056-7	stream	NA	0.04	slow	litter_bag	10	outdoor_mesocosm	control	deciduous forest	NA	leaves	senesced	Acer_mono	3	14	October2002	6	NA	NA	2.38	NA	NA	880	0	880	NA	88.05	3	NA	0.0064	dm	NA	NA	NA	NA	NA	NA	1.15	NA	41	NA	NA	NA	dm	GokibiruBrook_Hokkaido_Japan	NA	43.492_141.423	5	n	y	n	n	ea	ea	NA	NA	
