First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	Ratio_Type	C_Method	N_Method	P_Method	Notes
Zhou	"Biomass decaying and elemental release of aquatic macrophyte detritus in waterways of the Indian River Lagoon basin, South Florida, USA"	2018	Science of the Total Environment	10.1016/j.scitotenv.2018.04.047	lake	NA	NA	NA	litter_bag	0.4	field	NA	NA	NA	stem_leaves	fresh	Panicum_hemitomon	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	15	NA	0.0049	dm	NA	NA	11.27	15.61	8.696	43.32	1.221	0.087	41.38737784	1284.007006	31.0241207	NA	dm	"Stormwater retention pond in the Indian River Lagoon basin, south Florida"	NA	27.42611_-80.40944	4	n	n	n	n	molar	EA	EA	acid_digest_ICP-OES	"P measured with ICP-OES, cellulose; hemicellulose, and lignin only says measured with ""ELISA kits""; ratios calculated"
Zhou	"Biomass decaying and elemental release of aquatic macrophyte detritus in waterways of the Indian River Lagoon basin, South Florida, USA"	2018	Science of the Total Environment	10.1016/j.scitotenv.2018.04.047	lake	NA	NA	NA	litter_bag	0.4	field	NA	NA	NA	stem_leaves	fresh	Panicum_hemitomon	1	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	75	15	NA	0.0049	dm	NA	NA	10.37974684	14.23312883	9.886363636	45.15870929	1.151515152	0.04207982	45.74746059	2767.361203	60.49212715	NA	dm	"Stormwater retention pond in the Indian River Lagoon basin, south Florida"	NA	27.42611_-80.40944	4	n	n	n	n	molar	EA	EA	acid_digest_ICP-OES	
Zhou	"Biomass decaying and elemental release of aquatic macrophyte detritus in waterways of the Indian River Lagoon basin, South Florida, USA"	2018	Science of the Total Environment	10.1016/j.scitotenv.2018.04.047	lake	NA	NA	NA	litter_bag	0.4	field	NA	NA	NA	stem_leaves	fresh	Panicum_hemitomon	1	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65.05376344	15	NA	0.0049	dm	NA	NA	13.10126582	14.47852761	11.93181818	45.80706961	1.373737374	0.042054376	38.89770012	2808.791561	72.20970782	NA	dm	"Stormwater retention pond in the Indian River Lagoon basin, south Florida"	NA	27.42611_-80.40944	4	n	n	n	n	molar	EA	EA	acid_digest_ICP-OES	
Zhou	"Biomass decaying and elemental release of aquatic macrophyte detritus in waterways of the Indian River Lagoon basin, South Florida, USA"	2018	Science of the Total Environment	10.1016/j.scitotenv.2018.04.047	lake	NA	NA	NA	litter_bag	0.4	field	NA	NA	NA	stem_leaves	fresh	Panicum_hemitomon	1	28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	56.1827957	15	NA	0.0049	dm	NA	NA	11.58227848	16.19631902	12.04545455	45.79730288	1.414141414	0.035431812	37.77828067	3333.072361	88.22721156	NA	dm	"Stormwater retention pond in the Indian River Lagoon basin, south Florida"	NA	27.42611_-80.40944	4	n	n	n	n	molar	EA	EA	acid_digest_ICP-OES	
Zhou	"Biomass decaying and elemental release of aquatic macrophyte detritus in waterways of the Indian River Lagoon basin, South Florida, USA"	2018	Science of the Total Environment	10.1016/j.scitotenv.2018.04.047	lake	NA	NA	NA	litter_bag	0.4	field	NA	NA	NA	stem_leaves	fresh	Panicum_hemitomon	1	45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	49.19354839	15	NA	0.0049	dm	NA	NA	11.51898734	16.80981595	13.06818182	45.39611585	1.232323232	0.040636813	42.97235823	2880.694828	67.03599585	NA	dm	"Stormwater retention pond in the Indian River Lagoon basin, south Florida"	NA	27.42611_-80.40944	4	n	n	n	n	molar	EA	EA	acid_digest_ICP-OES	
Zhou	"Biomass decaying and elemental release of aquatic macrophyte detritus in waterways of the Indian River Lagoon basin, South Florida, USA"	2018	Science of the Total Environment	10.1016/j.scitotenv.2018.04.047	lake	NA	NA	NA	litter_bag	0.4	field	NA	NA	NA	stem_leaves	fresh	Panicum_hemitomon	1	65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.8172043	15	NA	0.0049	dm	NA	NA	12.53164557	17.11656442	9.943181818	45.38259269	1.070707071	0.049781913	49.44401853	2350.801271	47.54470491	NA	dm	"Stormwater retention pond in the Indian River Lagoon basin, south Florida"	NA	27.42611_-80.40944	4	n	n	n	n	molar	EA	EA	acid_digest_ICP-OES	
Zhou	"Biomass decaying and elemental release of aquatic macrophyte detritus in waterways of the Indian River Lagoon basin, South Florida, USA"	2018	Science of the Total Environment	10.1016/j.scitotenv.2018.04.047	lake	NA	NA	NA	litter_bag	0.4	field	NA	NA	NA	stem_leaves	fresh	Panicum_hemitomon	1	90	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40.32258065	15	NA	0.0049	dm	NA	NA	13.60759494	19.0797546	10.56818182	45.6282634	1.212121212	0.048386159	43.91197964	2431.705582	55.37681522	NA	dm	"Stormwater retention pond in the Indian River Lagoon basin, south Florida"	NA	27.42611_-80.40944	4	n	n	n	n	molar	EA	EA	acid_digest_ICP-OES	
Zhou	"Biomass decaying and elemental release of aquatic macrophyte detritus in waterways of the Indian River Lagoon basin, South Florida, USA"	2018	Science of the Total Environment	10.1016/j.scitotenv.2018.04.047	lake	NA	NA	NA	litter_bag	0.4	field	NA	NA	NA	stem_leaves	fresh	Panicum_hemitomon	1	125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	37.90322581	15	NA	0.0049	dm	NA	NA	10.18987342	16.80981595	9.886363636	45.73719995	1.070707071	0.053536639	49.83036068	2203.011032	44.21021647	NA	dm	"Stormwater retention pond in the Indian River Lagoon basin, south Florida"	NA	27.42611_-80.40944	4	n	n	n	n	molar	EA	EA	acid_digest_ICP-OES	
Zhou	"Biomass decaying and elemental release of aquatic macrophyte detritus in waterways of the Indian River Lagoon basin, South Florida, USA"	2018	Science of the Total Environment	10.1016/j.scitotenv.2018.04.047	lake	NA	NA	NA	litter_bag	0.4	field	NA	NA	NA	stem_leaves	fresh	Panicum_hemitomon	1	145	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34.94623656	15	NA	0.0049	dm	NA	NA	10.88607595	14.72392638	11.93181818	43.76131625	1.03030303	0.048200785	49.54736088	2341.178149	47.25131887	NA	dm	"Stormwater retention pond in the Indian River Lagoon basin, south Florida"	NA	27.42611_-80.40944	4	n	n	n	n	molar	EA	EA	acid_digest_ICP-OES	
Zhou	"Biomass decaying and elemental release of aquatic macrophyte detritus in waterways of the Indian River Lagoon basin, South Florida, USA"	2018	Science of the Total Environment	10.1016/j.scitotenv.2018.04.047	lake	NA	NA	NA	litter_bag	0.4	field	NA	NA	NA	stem_leaves	fresh	Panicum_hemitomon	1	165	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36.29032258	15	NA	0.0049	dm	NA	NA	13.29113924	14.29447853	9.659090909	38.78103753	0.929292929	0.056037366	48.68127216	1784.595987	36.65877879	NA	dm	"Stormwater retention pond in the Indian River Lagoon basin, south Florida"	NA	27.42611_-80.40944	4	n	n	n	n	molar	EA	EA	acid_digest_ICP-OES	
Zhou	"Biomass decaying and elemental release of aquatic macrophyte detritus in waterways of the Indian River Lagoon basin, South Florida, USA"	2018	Science of the Total Environment	10.1016/j.scitotenv.2018.04.047	lake	NA	NA	NA	litter_bag	0.4	field	NA	NA	NA	stem_leaves	fresh	Panicum_hemitomon	1	185	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32.25806452	15	NA	0.0049	dm	NA	NA	10.82278481	16.3803681	10	36.15529094	1.111111111	0.069129834	37.95853983	1348.666416	35.52998671	NA	dm	"Stormwater retention pond in the Indian River Lagoon basin, south Florida"	NA	27.42611_-80.40944	4	n	n	n	n	molar	EA	EA	acid_digest_ICP-OES	
