First_Author	Title	Year	Journal	DOI	System	Q_L.s	Velocity_m.s	Flow_Category	Decay_Method	Mesh_Size_Category	Setting	Manipulation	LULC_Category	Light_Category	Detritus_Type	Detritus_Condition	Detritus_Species	Time_Series_ID	Meas_Day	Start_Date	Temperature_C	pH	Cond_uS.cm	DOC_mg.L	Water_SRP_ug.L	Water_TP_ug.L	Water_NO3_ug.L	Water_NH4_ug.L	Water_DIN_ug.L	Water_TN_ug.L	Mass_per_remaining	Initial_Mass_g	AFDM_DM_ratio	k	Remain_Mass_Category	Tannin_per	Total_Phenolics_per	Lignin_per	Cellulose_per	Hemicellulose_per	C_per	N_per	P_per	CN_molar	CP_molar	NP_molar	Ergosterol_ug.g	Component_Mass_Category	Geog_Locale	Altitude_m	Lat_Long	Sample_Size	LULC_Quantified	Inverts_AddInfo	Microbes_AddInfo	CNPFluxes_AddInfo	C_method	N_method	P_method	Ratio_Type	Notes
van de Moortel	The role of the litter compartment in a constructed floating wetland	2012	Ecological Engineering	10.1016/j.ecoleng.2011.11.003	wetland	NA	NA	NA	litter_bag	3	field	constructed_wetland	NA	NA	plant_shoot	senesced	Carex_acutiformis	1	0	9January2009	NA	6.81	655	NA	NA	420	870	1400	2270	4280	100	6	NA	0.0027	dm	NA	NA	NA	NA	NA	NA	1.6	0.2	NA	NA	17.31	NA	dm	Beernem; Belgium	10	51.139865_3.336486	3	n	n	n	n	NA	digestion	phospho-vanado-molybdate	molar	DIN was not reported but was calculated as NH4+NO3; I calculated average %DM remaining; leaf TN and TP mass reported but I converted to %N and %P and calculated N:P; GPS coordinates and altitude were not reported (google maps for approximate location); these were constructed floating wetlands with bags deployed around edges of floating mats
van de Moortel	The role of the litter compartment in a constructed floating wetland	2012	Ecological Engineering	10.1016/j.ecoleng.2011.11.003	wetland	NA	NA	NA	litter_bag	3	field	constructed_wetland	NA	NA	plant_shoot	senesced	Carex_acutiformis	1	40	9January2009	NA	6.81	655	NA	NA	420	870	1400	2270	4280	95.21	6	NA	0.0027	dm	NA	NA	NA	NA	NA	NA	1.48	0.12	NA	NA	28.17	NA	dm	Beernem; Belgium	10	51.139865_3.336486	3	n	n	n	n	NA	digestion	phospho-vanado-molybdate	molar	review1: Added the sample size information. Corrected final mass to 38% (was 46%)
van de Moortel	The role of the litter compartment in a constructed floating wetland	2012	Ecological Engineering	10.1016/j.ecoleng.2011.11.003	wetland	NA	NA	NA	litter_bag	3	field	constructed_wetland	NA	NA	plant_shoot	senesced	Carex_acutiformis	1	72	9January2009	NA	6.81	655	NA	NA	420	870	1400	2270	4280	88.68	6	NA	0.0027	dm	NA	NA	NA	NA	NA	NA	1.76	0.2	NA	NA	19.5	NA	dm	Beernem; Belgium	10	51.139865_3.336486	3	n	n	n	n	NA	digestion	phospho-vanado-molybdate	molar	
van de Moortel	The role of the litter compartment in a constructed floating wetland	2012	Ecological Engineering	10.1016/j.ecoleng.2011.11.003	wetland	NA	NA	NA	litter_bag	3	field	constructed_wetland	NA	NA	plant_shoot	senesced	Carex_acutiformis	1	107	9January2009	NA	6.81	655	NA	NA	420	870	1400	2270	4280	83.33	6	NA	0.0027	dm	NA	NA	NA	NA	NA	NA	2.79	0.4	NA	NA	15.56	NA	dm	Beernem; Belgium	10	51.139865_3.336486	3	n	n	n	n	NA	digestion	phospho-vanado-molybdate	molar	
van de Moortel	The role of the litter compartment in a constructed floating wetland	2012	Ecological Engineering	10.1016/j.ecoleng.2011.11.003	wetland	NA	NA	NA	litter_bag	3	field	constructed_wetland	NA	NA	plant_shoot	senesced	Carex_acutiformis	1	156	9January2009	NA	6.81	655	NA	NA	420	870	1400	2270	4280	70.97	6	NA	0.0027	dm	NA	NA	NA	NA	NA	NA	2.93	0.45	NA	NA	14.34	NA	dm	Beernem; Belgium	10	51.139865_3.336486	3	n	n	n	n	NA	digestion	phospho-vanado-molybdate	molar	
van de Moortel	The role of the litter compartment in a constructed floating wetland	2012	Ecological Engineering	10.1016/j.ecoleng.2011.11.003	wetland	NA	NA	NA	litter_bag	3	field	constructed_wetland	NA	NA	plant_shoot	senesced	Carex_acutiformis	1	189	9January2009	NA	6.81	655	NA	NA	420	870	1400	2270	4280	49.72	6	NA	0.0027	dm	NA	NA	NA	NA	NA	NA	3.74	0.54	NA	NA	15.16	NA	dm	Beernem; Belgium	10	51.139865_3.336486	3	n	n	n	n	NA	digestion	phospho-vanado-molybdate	molar	
van de Moortel	The role of the litter compartment in a constructed floating wetland	2012	Ecological Engineering	10.1016/j.ecoleng.2011.11.003	wetland	NA	NA	NA	litter_bag	3	field	constructed_wetland	NA	NA	plant_shoot	senesced	Carex_acutiformis	1	217	9January2009	NA	6.81	655	NA	NA	420	870	1400	2270	4280	60.28	6	NA	0.0027	dm	NA	NA	NA	NA	NA	NA	3.01	0.54	NA	NA	12.28	NA	dm	Beernem; Belgium	10	51.139865_3.336486	3	n	n	n	n	NA	digestion	phospho-vanado-molybdate	molar	
van de Moortel	The role of the litter compartment in a constructed floating wetland	2012	Ecological Engineering	10.1016/j.ecoleng.2011.11.003	wetland	NA	NA	NA	litter_bag	3	field	constructed_wetland	NA	NA	plant_shoot	senesced	Carex_acutiformis	1	254	9January2009	NA	6.81	655	NA	NA	420	870	1400	2270	4280	65.76	6	NA	0.0027	dm	NA	NA	NA	NA	NA	NA	4.89	0.83	NA	NA	13.04	NA	dm	Beernem; Belgium	10	51.139865_3.336486	3	n	n	n	n	NA	digestion	phospho-vanado-molybdate	molar	
van de Moortel	The role of the litter compartment in a constructed floating wetland	2012	Ecological Engineering	10.1016/j.ecoleng.2011.11.003	wetland	NA	NA	NA	litter_bag	3	field	constructed_wetland	NA	NA	plant_shoot	senesced	Carex_acutiformis	1	275	9January2009	NA	6.81	655	NA	NA	420	870	1400	2270	4280	47.5	6	NA	0.0027	dm	NA	NA	NA	NA	NA	NA	2.56	0.81	NA	NA	6.99	NA	dm	Beernem; Belgium	10	51.139865_3.336486	3	n	n	n	n	NA	digestion	phospho-vanado-molybdate	molar	
van de Moortel	The role of the litter compartment in a constructed floating wetland	2012	Ecological Engineering	10.1016/j.ecoleng.2011.11.003	wetland	NA	NA	NA	litter_bag	3	field	constructed_wetland	NA	NA	plant_shoot	senesced	Carex_acutiformis	1	296	9January2009	NA	6.81	655	NA	NA	420	870	1400	2270	4280	44.95	6	NA	0.0027	dm	NA	NA	NA	NA	NA	NA	2.28	0.97	NA	NA	5.19	NA	dm	Beernem; Belgium	10	51.139865_3.336486	3	n	n	n	n	NA	digestion	phospho-vanado-molybdate	molar	
van de Moortel	The role of the litter compartment in a constructed floating wetland	2012	Ecological Engineering	10.1016/j.ecoleng.2011.11.003	wetland	NA	NA	NA	litter_bag	3	field	constructed_wetland	NA	NA	plant_shoot	senesced	Carex_acutiformis	1	364	9January2009	NA	6.81	655	NA	NA	420	870	1400	2270	4280	46.25	6	NA	0.0027	dm	NA	NA	NA	NA	NA	NA	5.53	1.07	NA	NA	11.47	NA	dm	Beernem; Belgium	10	51.139865_3.336486	3	n	n	n	n	NA	digestion	phospho-vanado-molybdate	molar	
